unplugged	原音重现
lily	莉莉
aris	阿里斯
gonçalves	贡萨尔维斯
ultraman	奥特曼
macdonald	麦克唐纳
jon	乔恩
may	梅
morrison	莫里森
rené	勒内
seymour	西摩
garcía	加西亚
césar	塞萨尔
leonid	列昂尼德
ibn	伊本
don	唐
johannes	约翰内斯
ibrahim	易卜拉欣
kaufman	考夫曼
karen	凱倫
castillo	卡斯蒂略
reed	里德
cecil	塞西尔
diego	迭戈
jonathan	乔纳森
arthur	阿瑟
patricia	派翠西亞
maxwell	马克斯韦尔
morten	摩頓
jorge	豪尔赫
stanford	斯坦福
hyman	海曼
woods	伍兹
dewey	杜威
neville	内维尔
lawson	勞森
gibbs	吉布斯
jacqueline	杰奎琳
tariq	塔里克
diarra	迪亚拉
pacheco	帕切科
bartolomé	巴托洛梅
tim	蒂姆
watson	沃森
gottfried	戈特弗里德
bob	鲍勃
robert	罗伯特
cohen	科恩
phillips	菲利普斯
rebecca	丽贝卡
gottlieb	戈特利布
dean	迪恩
guillaume	纪尧姆
justin	賈斯汀
anders	安德斯
kurt	库尔特
mel	梅尔
pellegrini	佩莱格里尼
cesare	切萨雷
clement	克莱门特
valentina	瓦伦蒂娜
bart	巴特
lansana	兰萨纳
guthrie	格思里
skarsgård	斯卡斯加德
nolan	诺兰
salomon	萨洛蒙
olivia	奥利维亚
mills	米尔斯
simone	西蒙尼
benedict	本尼迪克特
jenkins	詹金斯
goran	戈兰
zachary	扎卡里
dragan	德拉甘
mihai	米哈伊
brontë	勃朗特
ilie	伊利耶
timo	蒂莫
achille	阿希尔
melvin	梅尔文
karin	卡琳
katie	凯蒂
daniele	達尼埃萊
jenna	珍娜
meg	梅格
stanisław	斯坦尼斯瓦夫
dieter	迪特
cápac	卡帕克
landry	兰德里
whitman	惠特曼
elmer	埃尔默
elena	艾蓮娜
sforza	斯福尔扎
slobodan	斯洛博丹
davenport	达文波特
max	马克斯
calvin	卡尔文
nicky	尼基
jennings	詹宁斯
élie	埃利
didier	迪迪埃
clinton	克林顿
lászló	拉斯洛
juninho	儒尼尼奥
kwame	夸梅
maxim	马克西姆
graeme	格雷姆
doyle	道尔
aristide	阿里斯蒂德
bon	邦
milorad	米洛拉德
heywood	海伍德
joanna	乔安娜
cyrus	赛勒斯
béla	贝拉
underwood	安德伍德
israel	伊斯雷尔
judith	朱迪斯
magnus	马格努斯
vázquez	巴斯克斯
bartlett	巴特利特
epstein	爱泼斯坦
agustín	阿古斯丁
buddy	巴迪
penn	潘
ivanov	伊万诺夫
doug	道格
alexis	亚历克西
preston	普雷斯顿
poulsen	波尔森
andrews	安德魯斯
braun	布劳恩
kane	凯恩
fielding	菲尔丁
italo	伊塔洛
darko	达科
vaz	瓦斯
atkins	阿特金斯
betty	貝蒂
archer	阿彻
lyudmila	柳德米拉
tadeusz	塔德乌什
harden	哈登
speed	斯皮德
grant	格兰特
castro	卡斯特罗
benny	班尼
lessing	莱辛
kasper	卡斯柏
svensson	史雲遜
artur	阿尔图尔
adad	阿达德
marcello	马尔切洛
mendoza	门多萨
hamid	哈米德
griffin	格里芬
evelyn	伊夫林
thierry	蒂埃里
heller	海勒
monica	莫妮卡
keating	基廷
cissé	西塞
rutherford	卢瑟福
wall	沃尔
geller	蓋勒
rossellini	羅塞里尼
farrell	法雷尔
wittgenstein	维特根斯坦
eli	伊莱
monroe	门罗
phoebe	菲比
bastian	巴斯蒂安
moss	摩絲
bigelow	毕格罗
marvin	马文
sylvain	西尔万
zimmermann	齐默尔曼
dalton	道尔顿
jordan	乔丹
barton	巴顿
art	阿特
martha	瑪莎
rudy	鲁迪
sally	莎莉
sven	斯文
gould	古尔德
bender	本德
maduro	马杜罗
mirko	米尔科
webster	韦伯斯特
kendrick	肯德里克
dino	迪诺
moreira	莫雷拉
serrano	塞拉諾
curie	居里
justus	尤斯图斯
hale	黑尔
nancy	南希
clive	克莱夫
petra	佩特拉
suleiman	苏莱曼
rivera	里维拉
oksana	奥克萨娜
guzmán	古斯曼
fabrice	法布里斯
knowles	诺尔斯
jordi	佐迪
cheney	切尼
busch	布施
romeo	罗密欧
burbidge	伯比奇
hepburn	赫本
hayley	海莉
kendall	肯德尔
massoud	马苏德
jános	亚诺什
walsh	沃尔什
filippo	菲利波
gerhard	格哈德
palacios	帕拉西奥斯
lindo	林多
yekaterina	叶卡捷琳娜
antonín	安东宁
menzies	孟席斯
adolfo	阿道弗
jörg	约尔格
phelps	菲尔普斯
stephanie	史蒂芬妮
tito	蒂托
luke	卢克
imre	伊姆雷
gabriela	加布里埃拉
alina	阿林娜
boone	布恩
bernie	伯尼
rita	丽塔
gemma	杰玛
macfarlane	麦克法兰
sawyer	索耶
nur	努尔
watt	瓦特
inca	印卡
radomir	拉多米尔
yupanqui	尤潘基
figueroa	菲格罗亚
bard	巴德
angulo	安古洛
koch	科赫
pahlavi	巴列維
leslie	莱斯利
marek	马雷克
homer	霍默
gyllenhaal	吉倫荷
florent	弗洛朗
mehdi	迈赫迪
björn	比約恩
reinhard	赖因哈德
hargreaves	哈格里夫斯
carlton	卡爾頓
stamitz	斯塔米茨
cromwell	克伦威尔
coco	可可
dejan	德扬
boyd	博伊德
rashid	拉希德
mohsen	穆赫辛
angelo	安杰洛
harald	哈拉尔德
valerie	瓦莱丽
page	佩奇
armando	阿曼多
hull	赫尔
kidd	基德
sinclair	辛克莱
greenwood	格林伍德
barrett	巴雷特
