esau	עשו
ilana	אילנה
wertheimer	ורטהיימר
clementi	קלמנטי
mel	מל
mahler	מאהלר
spiegel	שפיגל
gadi	גדי
liu	ליו
rodriguez	רודריגז
rosenblum	רוזנבלום
reich	רייך
arazi	ארזי
erasmus	ארסמוס
feinstein	פיינשטיין
marvin	מרווין
marilyn	מרילין
byron	ביירון
goldman	גולדמן
gates	גייטס
inna	אינה
kraft	קראפט
lina	לינה
dalia	דליה
claudia	קלאודיה
landon	לנדון
scholl	שול
holm	הולם
eileen	איילין
armand	ארמנד
reinhold	ריינהולד
hank	האנק
kamehameha	קמחאמחה
wagner	וגנר
avni	אבני
radcliffe	רדקליף
duffy	דאפי
ole	אולה
arafat	ערפאת
amber	אמבר
leroy	לירוי
alf	אלף
orit	אורית
wise	וייז
crosby	קרוסבי
walton	וולטון
martina	מרטינה
gyula	גיולה
dagan	דגן
browning	בראונינג
howe	האו
ackerman	אקרמן
miron	מירון
pasternak	פסטרנק
mazar	מזר
drori	דרורי
bates	בייטס
tito	טיטו
eilat	אילת
salvador	סלבדור
dekel	דקל
vered	ורד
kathleen	קתלין
alicia	אלישה
ioan	יואן
asher	אשר
marino	מארינו
clint	קלינט
graves	גרייבס
teddy	טדי
lenny	לני
harari	הררי
efim	יפים
romano	רומנו
cecilia	ססיליה
paavo	פאבו
goldschmidt	גולדשמידט
kramer	קרמר
molina	מולינה
agricola	אגריקולה
doug	דאג
mac	מק
michal	מיכל
gonzález	גונסאלס
henri	אנרי
nicolae	ניקולאיה
miriam	מרים
burns	ברנס
sophie	סופי
duncan	דאנקן
edmund	אדמונד
cook	קוק
carr	קאר
maximilian	מקסימיליאן
maxwell	מקסוול
mason	מייסון
massacre	טבח
bo	בו
pete	פיט
felix	פליקס
hess	הס
rodríguez	רודריגס
tuvia	טוביה
rosenthal	רוזנטל
madison	מדיסון
abbas	עבאס
yuli	יולי
list	ליסט
sherman	שרמן
steinberg	שטיינברג
mehmed	מהמט
hussein	חוסיין
hawkins	הוקינס
segal	סגל
pinto	פינטו
berry	ברי
edgar	אדגר
tracy	טרייסי
tatyana	טטיאנה
macdonald	מקדונלד
zurab	זוראב
eric	אריק
watson	ווטסון
saint	הקדוש
pedro	פדרו
lucas	לוקאס
sidney	סידני
medina	מדינה
hiller	הילר
lennon	לנון
hanoch	חנוך
miklós	מיקלוש
sally	סאלי
ishmael	ישמעאל
erwin	ארווין
rokeach	רוקח
zahavi	זהבי
hendel	הנדל
brothers	האחים
bell	בל
vittorio	ויטוריו
milan	מילאן
simcha	שמחה
parker	פארקר
sofer	סופר
hugh	יו
hirsch	הירש
vanessa	ונסה
orly	אורלי
goossens	גוסנס
warner	וורנר
hong	הונג
abulafia	אבולעפיה
beatrice	ביאטריס
zoran	זוראן
cynthia	סינתיה
daniels	דניאלס
scarlatti	סקרלטי
temple	טמפל
curie	קירי
rutherford	רתרפורד
pavel	פאבל
herschel	הרשל
rosie	רוזי
shalom	שלום
rufus	רופוס
maxim	מקסים
mizrahi	מזרחי
katie	קייטי
flynn	פלין
berl	ברל
diane	דיאן
calderón	קלדרון
shapira	שפירא
alfonso	אלפונסו
kyle	קייל
park	פארק
augustus	אוגוסטוס
fouad	פואד
wolf	וולף
penn	פן
levin	לוין
dayan	דיין
mozart	מוצרט
moore	מור
pablo	פבלו
tony	טוני
nielsen	נילסן
zakai	זכאי
leighton	לייטון
brendan	ברנדן
watts	ווטס
porter	פורטר
miles	מיילס
morosini	מורוזיני
cage	קייג
post	פוסט
gay	גיי
mihai	מיכאי
brontë	ברונטה
greer	גריר
monica	מוניקה
dylan	דילן
barker	בארקר
isser	איסר
golomb	גולומב
elton	אלטון
buck	באק
nicanor	ניקנור
gregor	גרגור
arturo	ארטורו
tadeusz	תדיאוש
stanton	סטנטון
tate	טייט
axelrod	אקסלרוד
marguerite	מרגריט
nicholson	ניקולסון
isaacs	אייזקס
yvonne	איבון
almog	אלמוג
mick	מיק
goodman	גודמן
martini	מרטיני
pál	פאל
sosa	סוסה
dempsey	דמפסי
dori	דורי
oppenheimer	אופנהיימר
fernand	פרנאן
saban	סבן
swift	סוויפט
eliza	אלייזה
clancy	קלנסי
wallach	וולך
ursula	אורסולה
cleveland	קליבלנד
bowen	בואן
olsen	אולסן
