odor	ריח
endoscopy	אנדוסקופיה
monograph	מונוגרפיה
sovkhoz	סובחוז
risperidone	ריספרידון
nanny	אומנת
glay	גליי
hyperbola	היפרבולה
aley	עאליי
shareaza	שרזה
stratigraphy	סטרטיגרפיה
condatis	קונדאטיס
calamine	קלמין
caprice	קפריס
hyperbole	הגזמה
wolfsbane	וולפסביין
topshop	טופשופ
osteocalcin	אוסטאוקלצין
hasbro	הסברו
pumuckl	פומיקי
drought	בצורת
bilocation	בילוקציה
causality	סיבתיות
gitit	גיתית
phencyclidine	פאנציקלידין
pseudogene	פסאודוגן
colchis	קולכיס
kythnos	קיתנוס
rehaniya	ריחאניה
polykleitos	פוליקליטוס
fogera	פוגרה
kholop	חולופ
orphism	אורפיזם
atlantropa	אטלנטרופה
volgodonsk	וולגודונסק
fontlab	פונטלאב
dysentery	דיזנטריה
stishovite	סטיסהוביט
washoe	וואשו
marghita	מרגיטה
affix	מוספית
rationalism	רציונליזם
functor	פונקטור
debian	דביאן
glycine	גליצין
tangelo	תפוזינה
wieluń	ויילון
vitrification	ויטריפיקציה
pomeranian	פומרניאן
therizinosaurus	תריזינוזאור
elscint	אלסינט
churning	חיבוץ
socotra	סוקוטרה
mošovce	מושובצה
shoebill	מנעלן
lucretius	לוקרטיוס
caulking	איטום
shmita	שמיטה
stupa	סטופה
isolationism	בדלנות
misogyny	מיזוגיניה
moxibustion	מוקסה
legalization	לגליזציה
chinguetti	שינגטי
evangelicalism	אוונגליזם
antinomianism	אנטינומיזם
serpin	סרפין
enfilade	אנפילדה
samael	סמאל
hippodamia	היפודאמיה
telepathy	טלפתיה
ericales	אברשאים
gabbro	גברו
podcast	פודקאסט
circulator	סירקולטור
asado	אסאדו
lagodekhi	לאגודחי
olza	אולזה
piraeus	פיראוס
rubicon	רוביקון
kylix	קיליקס
mentewab	מאנטאוואב
securitate	סקוריטטה
supergrass	סופרגראס
tishrei	תשרי
selb	זלב
desertification	מדבור
busseto	בוסטו
supertramp	סופרטרמפ
environmentalism	סביבתנות
cinerama	סינרמה
ituran	איתוראן
asafoetida	חלתית
gestapo	גסטפו
inklings	אינקלינגס
cocooning	קוקונינג
naukograd	נאוקוגרד
perdicinae	חוגלות
lespezi	לספז
parboiling	חליטה
będzin	בנדין
intertextuality	אינטרטקסטואליות
delirium	דליריום
aftonbladet	אפטונבלדט
xulsigiae	קסולסיגיאה
bohemianism	בוהמה
kenyapotamus	קניהפוטם
hargeisa	הרגייסה
saponification	סיבון
malawach	מלאווח
blockhouse	בלוקהאוס
fatwā	פתווה
captorhinidae	קוטילוזאוריה
dilophosaurus	דילופוזאור
orbotech	אורבוטק
kouros	קורוס
wapping	וופינג
bacău	בקאו
lauraceae	עריים
hypnos	היפנוס
brennius	ברניוס
stroboscope	סטרובוסקופ
miska	מיסכה
meirav	מירב
galahad	גלהאד
houndshark	כרישוניים
webcomic	ובקומיקס
hyades	היאדות
siteswap	סייטסוואפ
atomium	אטומיום
tungsten	טונגסטן
notburga	נוטבורגה
gangulphus	גנגולפוס
sinfonia	סינפוניה
organum	אורגנום
glyptothek	גליפטותק
preveli	פרבלי
amazons	אמזונות
leontopolis	לאונטופוליס
camping	מחנאות
dupnitsa	דופניצה
nouadhibou	נואדיבו
ununtrium	אונונטריום
arfvedsonite	ארפוודסוניט
barnacle	זיפרגליים
upsherin	חלאקה
macgyver	מקגייוור
raekwon	רייקון
skins	סקינס
ignatievo	איגנטייבו
proteinuria	פרוטאינוריה
wiesbaden	ויסבאדן
emmental	אמנטל
butaritari	בוטאריטארי
palmares	פלמארס
pasargadae	פסארגאדה
peduim	פדויים
bauxite	בוקסיט
tiwanaku	טיוואנאקו
vasubandhu	וסובנדהו
rudky	רודקי
cyclotron	ציקלוטרון
fulgora	פולגורה
trainspotting	טריינספוטינג
hairspray	היירספריי
eponym	אפונים
halochromism	הלוכרומיזם
twyfelfontein	טוואיפלפונטיין
vlkolínec	ולקולינץ
yidcore	יידקור
bioreactor	ביוריאקטור
dongguan	דונגגוואן
glocalisation	גלוקליזציה
analcime	אנלציט
infiniti	אינפיניטי
stapler	מכלב
macrocephaly	מקרוצפליה
homogenization	המגון
arachnophobia	ארכנופוביה
fukuoka	פוקואוקה
taki	טאקי
intonation	אינטונציה
carnallite	קרנליט
stilyagi	המגונדרים
snot	סנוט
ibim	איבים
cascada	קסקדה
heterochromatin	הטרוכרומטין
ethnomusicology	אתנומוזיקולוגיה
interlaken	אינטרלאקן
ulama	עולמא
inveraray	אינוורארי
pecorino	פקורינו
mabinogion	מבינוגיון
dharma	דהרמה
chartzufim	החרצופים
confucius	קונפוציוס
pyrethrin	פירטרין
rosoideae	ורדאים
essenes	איסיים
biogeography	ביוגאוגרפיה
luninets	לוניניץ
barcode	ברקוד
hemolysis	המוליזה
hemolysin	המוליזין
knyszyn	קנישין
morphing	מורפינג
pyromania	פירומאניה
vogt	ווגט
soot	פיח
mescaline	מסקלין
shinar	שנער
beefcake	ביפקייק
scoria	סקוריה
moat	חפיר
nausicaa	נאוסיקה
patna	פטנה
motown	מוטאון
achshaph	אכשף
haynt	היינט
nadar	נדאר
gollum	גולום
boethius	בואתיוס
photogram	פוטוגרמה
pacifism	פציפיזם
harpalyke	הרפלייקה
elitism	אליטיזם
ampersand	אמפרסנד
spawn	ספון
rokiškis	רוקישקיש
plutarch	פלוטארכוס
hymenoptera	דבוראים
lusitanians	לוזיטנים
prazon	פרזון
castanets	קסטנייטות
holodomor	הולודומור
metrology	מטרולוגיה
tarom	טארום
scholasticism	סכולסטיקה
gordonia	גורדוניה
ksi	ѯ
palaeography	פלאוגרפיה
nahshonim	נחשונים
nahsholim	נחשולים
therma	תרמה
carmit	כרמית
lighter	מצית
asyut	אסיוט
obol	אובול
asfur	עספור
streymoy	סטריימוי
kremlinology	סובייטולוגיה
instagram	אינסטגרם
mayrhofen	מאיירהופן
chutzpah	חוצפה
apokapes	אפוקאפס
pokerstars	פוקרסטארס
islamophobia	אסלאמופוביה
caesarion	קיסריון
apocynaceae	הרדופיים
zoroastrianism	זורואסטריות
mealybug	קמחיתיים
astrolabe	אצטרולב
afikim	אפיקים
gaur	גאור
machaerus	מכוור
cyberpunk	סייברפאנק
selardi	סלארדי
hysteresis	היסטרזיס
mahseya	מחסיה
abaya	עבאיה
bornholm	בורנהולם
lyrids	לירידים
tardis	טארדיס
holašovice	הולשוביצה
egyptology	אגיפטולוגיה
latgale	לטגליה
habitus	הביטוס
pietà	פייטה
sendai	סנדאי
yisgav	ישגב
riverdance	ריברדאנס
monothelitism	מונותליטיזם
zeresh	זרש
microfluidics	מיקרופלואידיקה
alexanderplatz	אלכסנדרפלאץ
maskiot	משכיות
delator	קוודרופולטורס
anusim	אנוסים
bishkek	בישקק
shumsk	שומסק
sitria	סתריה
posidonius	פוסידוניוס
phytoplankton	פיטופלנקטון
meiningen	מיינינגן
elbistan	אלביסטן
dysphonia	צרידות
philoctetes	פילוקטטס
zigzag	זיגזג
primordialism	פרימורדיאליזם
esquire	אסקווייר
biofeedback	ביופידבק
sharia	שריעה
theobromine	תאוברומין
tarquinia	טרקוויניה
ostrea	אוסטראה
pantelleria	פנטלריה
istria	איסטריה
meissa	מייסה
disturbed	דיסטרבד
santorini	סנטוריני
hadean	האדן
trichloroethylene	טריכלורואתילן
metallurgy	מטלורגיה
ellipsoid	אליפסואיד
polydactyly	פולידקטיליה
polyamory	פוליאמוריה
graubünden	גראובינדן
surrogates	המחליפים
muff	ידונית
casein	קזאין
telemetry	טלמטריה
kuseife	כסייפה
necro	נקרו
ceratopsia	צרטופסים
ludza	לודזה
theudebald	תיאודבלד
luzzu	לוצו
amphitrite	אמפיטריטה
astatine	אסטטין
kamatz	קמץ
existenz	אקזיסטנז
natanz	נתנז
tetrodotoxin	טטרודוטוקסין
morphogenesis	מורפוגנזה
samarium	סמריום
mentaiko	מנטאיקו
encephalartos	אנצפלרתוס
vitiligo	ויטיליגו
sideromelane	סידרומלן
negrito	נגריטו
guanaco	גואנקו
mardonius	מרדוניוס
capleton	קייפלטון
hydrozoa	הידרתים
exarcheia	אקסרכיה
anthomyiidae	אנתומיתיים
piroxicam	פירוקסיקאם
mazovia	מזוביה
bareback	ברבק
sikhism	סיקיזם
zucchini	קישוא
buttermilk	חובצה
saxifraga	בקעצור
epithelium	אפיתל
delain	דיליין
kyphosis	עקשת
paramecium	סנדלית
phaedrus	פיידרוס
footstool	הדום
homonym	הומונימיות
subutai	סובוטאי
disinflation	דיסאינפלציה
zatanna	זטאנה
scarpe	סקארפ
naivety	נאיביות
bronchoscopy	ברונכוסקופיה
sabicas	סאביקאס
perioeci	פריאויקים
luganda	לוגנדה
socialization	חיברות
păcală	פקאלה
bhamdoun	בחמדון
acura	אקורה
ochre	אוכרה
lettrism	לטריזם
tegucigalpa	טגוסיגלפה
teotihuacan	טאוטיווקאן
suunto	סונטו
statism	אטטיזם
marmoset	מרמוסט
vanadium	ונדיום
llívia	לליביה
hyperkalemia	היפרקלמיה
hypnosis	היפנוזה
disneyquest	דיסניקווסט
trinitite	טריניטיט
pezhetairos	פזטיירוי
hallelujah	הללויה
gallows	גרדום
helmstedt	הלמשטדט
slinky	סלינקי
volksbühne	פולקסבינה
wartburg	וארטבורג
trichology	טריקולוגיה
iridology	אירידיולוגיה
proteoglycan	פרוטאוגליקן
meringue	מקצפת
pequeninos	פקיניוס
anacreon	אנאקראון
benzene	בנזן
karnobat	קרנובט
almagest	אלמגסט
charlottetown	שרלוטטאון
snob	סנוב
besalú	בסלו
incunable	אינקונבולה
wintersun	וינטרסן
hoverla	הוברלה
telamon	טלאמון
hippeastrum	היפהסטרום
welder	רתך
laconia	לאקוניה
micromégas	מיקרומגס
crixus	קריקסוס
astroid	אסטרואידה
laphroaig	לפרויג
spui	ספאו
gradient	גרדיאנט
lanolin	לנולין
cumbria	קאמבריה
antrustion	אנטרוסטיונס
karlskrona	קרלסקרונה
rysy	ריסי
daklon	דקלון
assonance	אסונאנס
scrophulariaceae	לועניתיים
nolita	נוליטה
dactyly	דקטיליה
shikoku	שיקוקו
biorhythm	ביוריתמוס
negohot	נגוהות
marlin	מפרשניים
totila	טוטילה
koliva	קוליבה
vanitas	ואניטאס
glycoside	גליקוזיד
relict	רליקט
jodenbreestraat	יודנבריסטראט
incitement	שידול
maslenitsa	מסלניצה
marionette	מריונטה
pediment	גמלון
feldspathoid	פלדשפטואיד
theudas	תוידאס
beatallica	ביטאליקה
chordate	מיתרניים
lambada	למבדה
histone	היסטון
surabaya	סורביה
taliban	טליבאן
clamp	קלאמפ
chevron	שברון
neviot	נביעות
stater	סטאטר
crutch	קב
cahokia	קהוקיה
ubiquitin	אוביקוויטין
postcard	גלויה
overall	סרבל
villach	פילאך
turkestan	טורקסטן
radula	רדולה
hydroxocobalamin	הידרוקסיקובלמין
filfla	פילפלה
nuseirat	נוסייראת
mastectomy	מסטקטומיה
carriage	כרכרה
cufflink	חפת
haluza	חלוצה
makuya	מקויה
armavia	ארמאוויה
datura	דטורה
ardaric	ארדאריק
abandinus	אבאנדינוס
kinetochore	קינטוכור
kaduna	קדונה
heterostyly	הטרוסטיליה
ovid	אובידיוס
mausolus	מאוזולוס
overcall	אוברקול
eugenics	אאוגניקה
landsknecht	לאנדסקנכט
karpathos	קרפאתוס
ausonius	אוסוניוס
verla	ורלה
kiko	קיקו
hafnium	הפניום
timorim	תימורים
tubas	טובאס
phrygia	פריגיה
wuhan	ווהאן
hunan	חונאן
lustenau	לוסטנאו
optometry	אופטומטריה
glycosaminoglycan	גליקוזאמינוגליקן
christology	כריסטולוגיה
surat	סוראט
rheology	ראולוגיה
firmware	קושחה
behavioralism	ביהביורליזם
erlangen	ארלנגן
lasagne	לזניה
sovremennik	סוברמניק
plush	פילוסין
murugan	סקאנדה
peshtera	פשטרה
syncline	קער
housay	האוסיי
skopun	סקופן
cryobiology	קריוביולוגיה
adama	אדאמה
bench	ספסל
praseodymium	פרסאודימיום
matkot	מטקות
docsis	דוקסיס
bimbo	פרחה
piperales	פלפלאים
dalarna	דלרנה
visby	ויסבי
bhubaneswar	בובנשוואר
minarchism	מינארכיזם
skimmer	גזרן
eurosport	יורוספורט
speciesism	סוגנות
headstone	מצבה
tephroite	טפרואיט
segisaurus	סגיזאור
metaplasia	מטפלזיה
shack	פחון
corixidae	חותרניים
fatalism	פטליזם
kulap	קולאפ
lulav	לולב
dunam	דונם
dembiya	דמביה
beriberi	בריברי
datolite	דטוליט
ostroh	אוסטרוה
paracelsus	פאראצלסוס
theogony	תאוגוניה
zygote	זיגוטה
paraffin	פרפין
aryanization	אריזציה
pyrope	פירופ
addiator	אדיאטור
wadowice	ודוביצה
leda	לדה
thermostat	תרמוסטט
corduroy	קורדורוי
luxovius	לוקסוויוס
fontanelle	מרפס
kurultai	קורילטאי
oscillococcinum	אוסילוקוקסינום
kamanneh	כמאנה
crantor	קראנטור
proteus	פרוטאוס
shuriken	שוריקן
compassion	חמלה
zambezi	זמבזי
kilogram	קילוגרם
orthoptera	חגבאים
castilleja	קסטייחה
espoo	אספו
shearography	שירוגרפיה
apologetics	אפולוגטיקה
kavarna	קווארנה
miorița	מיאוריצה
andradite	אנדרדיט
bansko	בנסקו
leptotyphlopidae	נימוניים
mariehamn	מרייהאמן
hematocrit	המטוקריט
enolase	אנולאז
gołdap	גולדאפ
azadirachtin	אזדרכטין
git	גיט
bebutov	בבוטוב
crucifix	קרוסיפיקס
amoxicillin	אמוקסיצילין
kitsman	קוצמן
samnium	סאמניום
anthropocentrism	אנתרופוצנטריות
aglona	אגלונה
agon	אגונים
tumblr	טאמבלר
númenor	נומנור
brisighella	בריזיגלה
callitrichidae	מרמוסטיים
achernar	אכרנר
armadillidiidae	כדרורוניים
mississauga	מיסיסוגה
pykrete	פייקריט
geomechanics	גאומכניקה
nagarakretagama	נגרקרטגאמה
ebulliometer	אבוליומטר
rassco	רסקו
montmorillonite	מונטמורילוניט
quiriguá	קיריגואה
pyrrhotite	פירוטיט
adoption	אימוץ
círdan	קירדן
hegai	הגי
herat	הראט
sculpey	סקאלפי
photoelasticity	פוטואלסטיות
lemar	למר
tepal	עטיף
telad	טלעד
terah	תרח
glycolysis	גליקוליזה
vedas	ודות
getae	גטים
runescape	רונסקייפ
periodization	תיקוף
caravel	קרוולה
ichthyosis	איכתיוזיס
marcionism	מרקיוניזם
predestination	פרדסטינציה
mazdak	מזדק
neurofibromatosis	נוירופיברומטוזיס
monazite	מונזיט
satyagraha	סאטיאגרהא
spacelab	ספייסלאב
humidity	לחות
bourvil	בורביל
vukovar	ווקובר
disgust	גועל
begemder	בגמדר
cuirassier	קירסיר
humility	ענווה
photogenic	פוטוגניות
saccharin	סכרין
safranbolu	ספרנבולו
serah	שרח
formiga	פורמיגה
kurów	קורוב
tramadol	טרמדול
lihou	ליהו
bipod	דורגל
nesebar	נסבר
manners	נימוסים
apophyllite	אפופיליט
yinon	ינון
fenrir	פנריר
sihon	סיחון
bigos	ביגוס
livilla	ליווילה
ladle	מצקת
forficulidae	צבתניים
aldehyde	אלדהיד
atropine	אטרופין
lepidolite	לפידוליט
lazistan	לאזיסטן
pentane	פנטאן
pleiotropy	פליאוטרופיה
fundraising	התרמה
orgasmatron	אורגזמטרון
pasteurization	פסטור
vulva	פות
shifta	שפתה
amaretto	אמרטו
dopamine	דופמין
tequixquiac	טקיסטיאק
discman	דיסקמן
confucianism	קונפוציאניזם
veszprém	וספרם
dixieland	דיקסילנד
marakei	מאראקיי
ananke	אננקה
extrapolation	אקסטרפולציה
vardapet	ורדאפט
microtome	מיקרוטום
khafra	חאפרו
guava	גויאבה
cyanosis	כיחלון
spodumene	ספודומן
stalker	סטאלקר
arctiidae	דובוניים
achalasia	אכלזיה
karasumi	קרסומי
archaeopteryx	ארכיאופטריקס
cynocephaly	קינוקפאליה
saudade	געגוע
yakutsk	יקוטסק
azrikam	עזריקם
arthroscopy	ארתרוסקופיה
muffin	מאפין
muridae	עכבריים
caspofungin	קספופונגין
baeckeoffe	בקאוף
fureidis	פוריידיס
evita	אוויטה
gorgora	גורגורה
gadolinite	גדוליניט
tanager	טנגריים
isildur	איסילדור
hieroglyph	הירוגליף
toxicology	טוקסיקולוגיה
saracen	סרצנים
givolim	גבעולים
nonouti	נונואוטי
accor	אקור
scythians	סקיתים
tonalite	טונליט
horemheb	חרמחב
chania	חאניה
aileron	מאזנות
digoxin	דיגוקסין
plasmolysis	פלסמוליזה
shunga	שונגה
synthesizer	סינתיסייזר
växjö	וקשה
starbucks	סטארבקס
burzum	בורזום
microfibril	מיקרופיברילות
mistletoe	דבקון
cenomanian	קנומן
puntland	פונטלנד
frittata	פריטטה
ashmyany	אשמיאני
dukkha	דוקהה
colonsay	קולונסיי
mitosis	מיטוזה
agame	עגמה
hypokalemia	היפוקלמיה
aligudarz	אליגודרז
cataglyphis	נווטת
coldplay	קולדפליי
kinsale	קינסייל
coppélia	קופליה
beatlemania	ביטלמניה
philistus	פיליסטוס
pepsin	פפסין
dornbirn	דורנבירן
lipopeptide	ליפופפטיד
outcrop	מחשוף
qatayef	קטאיף
skúvoy	סקובוי
abeokuta	אבאוקוטה
caposele	קפוסלה
agonist	אגוניסט
hentai	הנטאי
ibradı	איבראדה
yarhiv	ירחיב
calcitonin	קלציטונין
entrecôte	אנטרקוט
aconcagua	אקונקגואה
mpumalanga	מפומלנגה
zolochiv	זלוטשוב
methadone	מתאדון
amethyst	אחלמה
muixeranga	מוישרנגה
cazwell	קאזוול
neoteny	נאוטניה
cyclopropane	ציקלופרופאן
nymph	נימפה
trumeau	טרימו
riddim	רידים
diarchy	דיארכיה
epigraphy	אפיגרפיה
plaster	טיח
cucurbitaceae	דלועיים
hippogriff	היפוגריף
nurofen	נורופן
soundgarden	סאונדגארדן
tyndareus	טינדראוס
celibacy	צליבט
urfalim	אורפלים
saponin	סאפונין
gastroenterology	גסטרואנטרולוגיה
dhanvantari	דנוונטרי
fritter	פריטר
spheroid	ספרואיד
confetti	קונפטי
yandex	יאנדקס
presbyterianism	פרסביטריאניזם
polyhymnia	פוליהימניה
jadrolinija	ידרוליניה
hydatius	הידטיוס
billabong	בילבונג
klaksvík	קלאקסוויק
norbit	נורביט
complementation	קומפלמנטציה
marcomanni	מרקומנים
sosnowiec	סוסנוביץ
kantele	קנטלה
wombat	וומבטיים
melanthius	מלנתיוס
sial	סיאל
panning	פאנינג
nibbler	ניבלר
qvareli	קווארלי
oplontis	אופלונטיס
chemosh	כמוש
litoria	ליטוריה
dizziness	סחרחורת
masculinity	גבריות
fractal	פרקטל
nasnas	נסנאס
chlorofluorocarbon	פריאון
gallon	גלון
dynów	דינוב
røros	ררוס
hamodia	המודיע
makassar	מקאסאר
amioun	אמיון
şanlıurfa	אורפה
ahihud	אחיהוד
transferase	טרנספראז
mariupol	מריאופול
fascia	חיתולית
zimrat	זמרת
scheveningen	סכוונינגן
logotherapy	לוגותרפיה
clannad	קלאנאד
tnuva	תנובה
thymelaeaceae	מתנניים
tikrit	תיכרית
chirocephalidae	זימרגליים
azawakh	אזוואק
mastic	מסטיקא
aedile	איידיל
arbitrage	ארביטראז
huns	הונים
timrat	תמרת
araceae	לופיים
recipe	מתכון
piezoelectricity	פיאזואלקטריות
sooglossidae	סוגלוסיים
teutons	טווטונים
goldfrapp	גולדפראפ
aishiya	עישייה
anıtkabir	אנטקביר
phorcys	פורקיס
orthoclase	אורתוקלז
ikariam	איקרים
pétanque	פטאנק
aragosaurus	אראגוזאור
ecofeminism	אקופמיניזם
subbotniks	סובותניקים
babingtonite	בבינגטוניט
alchemy	אלכימיה
gastropoda	חלזונות
jägermeister	יגרמייסטר
manche	מאנש
sestina	ססטינה
renting	שכירות
ricotta	ריקוטה
arorae	ארוראה
hammerfest	המרפסט
styx	סטיקס
fabales	קטניתאים
lamnidae	עמלצים
germination	נביטה
mogons	מוגונס
leinster	לנסטר
gentianales	גנציינאים
horticulture	הורטיקולטורה
microfiber	מיקרופייבר
cryptozoology	קריפטוזואולוגיה
risotto	ריזוטו
pemphigus	פמפיגוס
endorphin	אנדורפין
sucellus	סוקלוס
granoblastic	גרנובלסטי
eteocles	אתאוקלס
fernandel	פרננדל
haloalkane	הלואלקאן
bartitsu	ברטיטסו
qizilbash	קיזילבאשלר
allophone	אלופון
peloton	דבוקה
azmari	אזמרי
carpentry	נגרות
verifone	וריפון
ahab	אחאב
catabolism	קטבוליזם
sinkhole	בולען
abscess	מורסה
conviasa	קונביאסה
otopeni	אוטופן
florianópolis	פלוריאנופוליס
trogir	טרוגיר
geologist	גאולוג
vishnu	וישנו
quigo	קוויגו
victorinox	ויקטורינוקס
catalão	קטלאו
spleen	טחול
kition	כתיון
gopher	גופר
erinaceidae	קיפודיים
acquaviva	אקואוויווה
radionics	רדיוניקס
piperaceae	פלפליים
masinissa	מסיניסה
dunga	דונגה
niihau	ניאיהאו
abhidharma	אבהידהמה
godzilla	גודזילה
laurisilva	לאוריסילבה
bissli	ביסלי
taipa	טייפה
nappe	גלישון
bushel	בושל
psilotaceae	פסילוטים
striatum	סטריאטום
methylphenidate	מתילפנידאט
sampi	סאמפי
basilicata	בזיליקטה
oligodendrocyte	אוליגודנדרוציטים
androgen	אנדרוגן
spirometry	ספירומטריה
advent	הציפייה
ricagambeda	ריקאגומבדה
setomaa	סטומאה
campe	קאמפה
zircon	זירקון
kraken	קראקן
icarius	איקריוס
protagonist	פרוטגוניסט
tubuai	טובואיי
