girlfriend	女朋友
nicholson	尼科尔森
beckmann	贝克曼
leakey	李奇
grzimek	格日梅克
elvis	埃尔维斯
benda	本达
vargas	巴尔加斯
bondarenko	邦达连科
howell	豪厄尔
rodham	罗德姆
paulson	保尔森
chaves	查韦斯
burns	伯恩斯
woodward	伍德沃德
raja	拉加
umberto	翁贝托
giordano	焦尔达诺
nehru	尼赫鲁
lothar	洛塔尔
burrows	布洛斯
margherita	玛格丽塔
fouad	福阿德
bowman	鮑曼
natalie	娜塔莉
bushnell	布什内尔
sandrine	桑德琳
pekka	佩卡
dixon	迪臣
pollard	波拉德
michal	米哈尔
gille	吉勒
pastrana	帕斯特拉纳
golding	戈尔丁
neruda	聂鲁达
cotton	科顿
gleb	格列布
mays	梅斯
bonham	博纳姆
barrios	巴里奥斯
marianne	玛丽安娜
brenda	布蘭達
marion	馬里恩
maynard	梅纳德
keynes	凯恩斯
papadopoulos	帕帕佐普洛斯
michelangelo	米开朗基罗
bartolomeu	巴尔托洛梅乌
shah	沙阿
doris	桃樂絲
mccartney	麦卡特尼
françoise	弗朗索瓦丝
whitney	惠特尼
apla	阿普拉
lakshmi	拉克希米
blatter	布拉特
berthold	贝特霍尔德
gracie	格雷西
dawson	道森
dvorak	德沃夏克
heath	希斯
héctor	埃克托
polycarp	波利卡普
pierluigi	皮耶路易吉
huston	休斯頓
radosław	拉多斯瓦夫
landon	兰登
austen	奥斯丁
affleck	阿弗莱克
aki	阿基
dini	迪尼
kinski	金斯基
combs	库姆斯
damien	达米恩
valentine	華倫泰
schenk	申克
dow	道
kay	凯
naim	纳伊姆
hartmann	哈特曼
hallett	哈利特
major	梅杰
cunningham	坎宁安
tilson	提爾森
samantha	萨曼莎
wolf	沃尔夫
airy	艾里
domingos	多明戈斯
tory	托瑞
house	豪斯
diallo	迪亚洛
