chris	克里斯
rush	拉什
györgy	捷尔吉
jerzy	耶日
núñez	努涅斯
baldwin	鲍德温
marin	馬林
lauren	劳伦
renato	雷纳托
tucker	塔克
vince	文斯
dirk	德克
kuhn	库恩
bennett	贝内特
wade	韋德
carson	卡森
eva	伊娃
gibb	吉布
charlton	查尔顿
jiří	伊日
zdeněk	兹德涅克
thatcher	撒切尔
jacobson	雅各布森
desmond	德斯蒙德
zoltán	佐尔坦
walton	沃尔顿
raoul	拉乌尔
lynch	林奇
bradford	布拉德福德
kapoor	卡浦爾
diane	黛安
akbar	阿克巴尔
gaston	加斯东
darwin	達爾文
joyce	乔伊斯
peters	彼得斯
palmer	帕尔默
hahn	哈恩
tyson	泰森
marlon	馬龍
frisch	弗里施
enzo	恩佐
rod	罗德
parsons	帕森斯
ruiz	鲁伊斯
ivica	伊维卡
willard	威拉德
sheikh	谢赫
axel	阿克塞尔
kazimierz	卡齐米日
mann	曼
mackenzie	麦肯齐
huxley	赫胥黎
mika	米卡
chester	切斯特
quinn	奎因
kyle	凯尔
hossein	侯賽因
edmund	埃德蒙
roosevelt	罗斯福
abdul	阿卜杜勒
joseph	约瑟夫
steve	史蒂夫
richard	理查德
abu	阿布
elizabeth	伊丽莎白
rick	里克
ernest	欧内斯特
william	威廉
samuel	塞缪尔
ralph	拉尔夫
alfredo	阿尔弗雷多
carlo	卡洛
werner	维尔纳
thomas	托马斯
campbell	坎贝尔
arthur	阿瑟
taylor	泰勒
andrés	安德烈斯
curtis	柯蒂斯
alfred	阿尔弗雷德
grégory	格雷戈里
georg	格奥尔格
nicole	妮可
parker	帕克
manuel	曼努埃尔
rené	勒内
bonaparte	波拿巴
aris	阿里斯
le	勒
barton	巴顿
amy	艾米
theodore	西奥多
simone	西蒙尼
may	梅
seymour	西摩
morrison	莫里森
macdonald	麦克唐纳
leonard	伦纳德
gonçalves	贡萨尔维斯
gilbert	吉尔伯特
garcía	加西亚
leonid	列昂尼德
césar	塞萨尔
kahn	卡恩
michel	米歇尔
castillo	卡斯蒂略
karen	凱倫
kaufman	考夫曼
rashid	拉希德
ibn	伊本
johannes	约翰内斯
diego	迭戈
joão	若昂
jonathan	乔纳森
ibrahim	易卜拉欣
neville	内维尔
maxwell	马克斯韦尔
patricia	派翠西亞
tariq	塔里克
stanford	斯坦福
hyman	海曼
morten	摩頓
diarra	迪亚拉
jacqueline	杰奎琳
lawson	勞森
bartolomé	巴托洛梅
dewey	杜威
gibbs	吉布斯
pacheco	帕切科
tim	蒂姆
dick	迪克
boris	鲍里斯
terry	特里
jon	乔恩
scott	斯科特
bob	鲍勃
grant	格兰特
jorge	豪尔赫
gottlieb	戈特利布
phillips	菲利普斯
cohen	科恩
watson	沃森
catherine	凯瑟琳
rebecca	丽贝卡
robert	罗伯特
justin	賈斯汀
dean	迪恩
guillaume	纪尧姆
anders	安德斯
kurt	库尔特
jörg	约尔格
dieter	迪特
stephanie	史蒂芬妮
alina	阿林娜
slobodan	斯洛博丹
landry	兰德里
salomon	萨洛蒙
pellegrini	佩莱格里尼
montgomery	蒙哥马利
mohsen	穆赫辛
elmer	埃尔默
bon	邦
gemma	杰玛
archer	阿彻
stanisław	斯坦尼斯瓦夫
gerhard	格哈德
greenwood	格林伍德
ivanov	伊万诺夫
joanna	乔安娜
kidd	基德
bernie	伯尼
kasper	卡斯柏
darko	达科
buddy	巴迪
macfarlane	麦克法兰
harald	哈拉尔德
figueroa	菲格罗亚
gottfried	戈特弗里德
