chris	克里斯
axel	阿克塞尔
hossein	侯賽因
adnan	阿德南
kate	凱特
robbie	罗比
rod	罗德
vince	文斯
renato	雷纳托
rush	拉什
thatcher	撒切尔
marlon	馬龍
charlton	查尔顿
eva	伊娃
lynch	林奇
chester	切斯特
mann	曼
jacobson	雅各布森
kazimierz	卡齐米日
bradford	布拉德福德
peters	彼得斯
ptolemy	托勒密
dirk	德克
raoul	拉乌尔
zoltán	佐尔坦
gibb	吉布
ruiz	鲁伊斯
ivica	伊维卡
haas	哈斯
gaston	加斯东
parsons	帕森斯
marin	馬林
florian	弗洛里安
joyce	乔伊斯
carson	卡森
darwin	達爾文
casimir	卡西米尔
kuhn	库恩
wade	韋德
huxley	赫胥黎
sterling	斯特林
frisch	弗里施
tucker	塔克
enzo	恩佐
mackenzie	麦肯齐
palmer	帕尔默
willard	威拉德
bennett	贝内特
jiří	伊日
mika	米卡
kapoor	卡浦爾
sloan	斯隆
zdeněk	兹德涅克
núñez	努涅斯
lauren	劳伦
baldwin	鲍德温
reggie	雷吉
hahn	哈恩
troy	特洛伊
edmund	埃德蒙
roosevelt	罗斯福
abdul	阿卜杜勒
joseph	约瑟夫
steve	史蒂夫
abu	阿布
richard	理查德
rick	里克
elizabeth	伊丽莎白
ernest	欧内斯特
william	威廉
samuel	塞缪尔
alfredo	阿尔弗雷多
ralph	拉尔夫
werner	维尔纳
carlo	卡洛
thomas	托马斯
campbell	坎贝尔
arthur	阿瑟
andrés	安德烈斯
taylor	泰勒
curtis	柯蒂斯
alfred	阿尔弗雷德
grégory	格雷戈里
georg	格奥尔格
parker	帕克
nicole	妮可
morrison	莫里森
rené	勒内
leonard	伦纳德
macdonald	麦克唐纳
amy	艾米
simone	西蒙尼
barton	巴顿
theodore	西奥多
aris	阿里斯
le	勒
manuel	曼努埃尔
may	梅
bonaparte	波拿巴
gonçalves	贡萨尔维斯
seymour	西摩
gilbert	吉尔伯特
garcía	加西亚
césar	塞萨尔
leonid	列昂尼德
kahn	卡恩
michel	米歇尔
ibn	伊本
rashid	拉希德
kaufman	考夫曼
karen	凱倫
castillo	卡斯蒂略
johannes	约翰内斯
diego	迭戈
jonathan	乔纳森
joão	若昂
ibrahim	易卜拉欣
hyman	海曼
tariq	塔里克
dewey	杜威
stanford	斯坦福
lawson	勞森
jacqueline	杰奎琳
diarra	迪亚拉
gibbs	吉布斯
morten	摩頓
maxwell	马克斯韦尔
neville	内维尔
pacheco	帕切科
bartolomé	巴托洛梅
patricia	派翠西亞
tim	蒂姆
dick	迪克
boris	鲍里斯
jon	乔恩
terry	特里
scott	斯科特
bob	鲍勃
grant	格兰特
jorge	豪尔赫
catherine	凯瑟琳
rebecca	丽贝卡
cohen	科恩
phillips	菲利普斯
watson	沃森
gottlieb	戈特利布
robert	罗伯特
guillaume	纪尧姆
dean	迪恩
anders	安德斯
justin	賈斯汀
kurt	库尔特
stanisław	斯坦尼斯瓦夫
jörg	约尔格
phelps	菲尔普斯
bernie	伯尼
tito	蒂托
stephanie	史蒂芬妮
sinclair	辛克莱
hull	赫尔
cápac	卡帕克
figueroa	菲格罗亚
tina	蒂娜
barrett	巴雷特
armando	阿曼多
antonín	安东宁
sheldon	谢尔顿
alina	阿林娜
angelo	安杰洛
coco	可可
woods	伍兹
macfarlane	麦克法兰
gerhard	格哈德
valerie	瓦莱丽
menzies	孟席斯
gemma	杰玛
gottfried	戈特弗里德
dejan	德扬
adolfo	阿道弗
yekaterina	叶卡捷琳娜
rita	丽塔
imre	伊姆雷
hal	哈尔
archer	阿彻
gabriela	加布里埃拉
ivanov	伊万诺夫
joanna	乔安娜
radomir	拉多米尔
buddy	巴迪
meg	梅格
élie	埃利
slobodan	斯洛博丹
davenport	达文波特
elena	艾蓮娜
didier	迪迪埃
melvin	梅尔文
whitman	惠特曼
calvin	卡尔文
jenna	珍娜
filippo	菲利波
massoud	马苏德
palacios	帕拉西奥斯
lindo	林多
jános	亚诺什
salomon	萨洛蒙
elmer	埃尔默
walsh	沃尔什
landry	兰德里
pellegrini	佩莱格里尼
kasper	卡斯柏
jefferson	謝佛遜
bon	邦
nur	努尔
hoover	胡佛
darko	达科
montgomery	蒙哥马利
kane	凯恩
watt	瓦特
cromwell	克伦威尔
bender	本德
webster	韦伯斯特
kendrick	肯德里克
sven	斯文
dawson	道森
cheney	切尼
burbidge	伯比奇
zimmermann	齐默尔曼
busch	布施
justus	尤斯图斯
gould	古尔德
manson	曼森
sylvain	西尔万
mirko	米尔科
moreira	莫雷拉
nancy	南希
art	阿特
dino	迪诺
curie	居里
dalton	道尔顿
suleiman	苏莱曼
sheen	辛
rivera	里维拉
rossellini	羅塞里尼
petra	佩特拉
rutherford	卢瑟福
keating	基廷
oksana	奥克萨娜
knowles	诺尔斯
hamid	哈米德
thierry	蒂埃里
heller	海勒
evelyn	伊夫林
kendall	肯德尔
hayley	海莉
hepburn	赫本
jordi	佐迪
griffin	格里芬
marcello	马尔切洛
eli	伊莱
bhutto	布托
stamitz	斯塔米茨
koch	科赫
bard	巴德
mason	梅森
carlton	卡爾頓
gyllenhaal	吉倫荷
hargreaves	哈格里夫斯
angulo	安古洛
harald	哈拉尔德
boyd	博伊德
leslie	莱斯利
mohsen	穆赫辛
deborah	黛博拉
pahlavi	巴列維
kidd	基德
marek	马雷克
greenwood	格林伍德
reinhard	赖因哈德
cissé	西塞
guzmán	古斯曼
farrell	法雷尔
wall	沃尔
fabrice	法布里斯
clive	克莱夫
maduro	马杜罗
burke	伯克
marvin	马文
bigelow	毕格罗
martha	瑪莎
florent	弗洛朗
bastian	巴斯蒂安
monroe	门罗
rudy	鲁迪
mendoza	门多萨
björn	比約恩
mehdi	迈赫迪
wittgenstein	维特根斯坦
kwame	夸梅
italo	伊塔洛
juninho	儒尼尼奥
israel	伊斯雷尔
lily	莉莉
mel	梅尔
vázquez	巴斯克斯
agustín	阿古斯丁
poulsen	波尔森
skarsgård	斯卡斯加德
florence	弗洛伦斯
mara	玛拉
clement	克莱门特
cyrus	赛勒斯
nolan	诺兰
benny	班尼
epstein	爱泼斯坦
valentina	瓦伦蒂娜
fielding	菲尔丁
gates	盖茨
heywood	海伍德
herschel	赫歇爾
speed	斯皮德
dragan	德拉甘
milorad	米洛拉德
harden	哈登
lyudmila	柳德米拉
jenkins	詹金斯
timo	蒂莫
artur	阿尔图尔
tadeusz	塔德乌什
doug	道格
domingo	多明哥
béla	贝拉
mihai	米哈伊
aristide	阿里斯蒂德
ilie	伊利耶
achille	阿希尔
benedict	本尼迪克特
goran	戈兰
betty	貝蒂
karin	卡琳
atkins	阿特金斯
nicky	尼基
mills	米尔斯
guthrie	格思里
svensson	史雲遜
braun	布劳恩
katie	凯蒂
penn	潘
jennings	詹宁斯
wise	怀斯
lansana	兰萨纳
sforza	斯福尔扎
sherman	舍曼
dieter	迪特
alexis	亚历克西
vaz	瓦斯
lászló	拉斯洛
preston	普雷斯顿
doyle	道尔
olivia	奥利维亚
andrews	安德魯斯
magnus	马格努斯
horst	霍斯特
daniele	達尼埃萊
brontë	勃朗特
lessing	莱辛
castro	卡斯特罗
bartlett	巴特利特
cesare	切萨雷
graeme	格雷姆
plácido	普拉西多
zachary	扎卡里
maxim	马克西姆
judith	朱迪斯
michael	迈克尔
ludwig	路德维希
hassan	哈桑
francis	弗朗西斯
newman	紐曼
max	马克斯
rodney	罗德尼
theo	西奥
alexander	亚历山大
henry	亨利
abraham	亚伯拉罕
anne	安妮
omar	奥马尔
roman	罗曼
armand	阿尔芒
gonzález	冈萨雷斯
felix	费利克斯
ricardo	里卡多
pat	帕特
roy	罗伊
frederick	弗雷德里克
fowler	福勒
fernández	费尔南德斯
jordan	乔丹
arroyo	阿罗约
popov	波波夫
bohr	玻尔
victoria	维多利亚
hermann	赫尔曼
josé	何塞
charles	查尔斯
sviatoslav	斯维亚托斯拉夫
lorenzo	洛伦佐
abel	阿贝尔
fabian	法比安
lester	莱斯特
dale	戴尔
márcio	馬斯奧
nigel	尼祖
khalid	哈立德
oleg	奥列格
malcolm	马尔科姆
eduardo	爱德华多
murphy	墨菲
bill	比尔
albert	阿尔伯特
spears	斯皮爾斯
stanton	斯坦顿
burton	伯顿
prince	普林斯
reid	列特
serra	塞拉
green	格林
kingsley	金斯利
jenny	珍妮
gaius	盖乌斯
duane	杜安
ferenc	费伦茨
church	丘奇
gonzalo	干沙路
knight	奈特
rooney	鲁尼
lionel	利昂内尔
torres	托雷斯
sergio	塞尔希奥
reyes	雷耶斯
stanislav	斯坦尼斯拉夫
müller	穆勒
julia	茱莉亞
jaroslav	雅罗斯拉夫
cédric	塞德里克
solomon	所羅門
amir	阿米尔
dias	迪亚士
mick	米克
luke	卢克
rudolf	鲁道夫
roger	罗杰
júnior	祖利亞
cecil	塞西尔
bruce	布鲁斯
alexandra	亚历山德拉
martins	馬田斯
weber	韦伯
del	德尔
jerome	杰罗姆
rice	赖斯
martin	马丁
gardner	加德纳
pete	皮特
archibald	阿奇博尔德
marcel	馬塞爾
nikita	尼基塔
jeremy	杰里米
javier	哈维尔
don	唐
gregory	格里高利
oliver	奥利弗
cook	庫克
franco	佛朗哥
edwards	爱德华兹
aziz	阿齐兹
crawford	克劳福德
adam	亚当
andrew	安德鲁
steven	史蒂文
mark	马克
sharon	莎朗
gore	戈尔
banda	班达
moreau	莫罗
vittorio	维托里奥
wolfgang	沃尔夫冈
gennady	根纳季
pearson	皮尔逊
nabil	纳比勒
arsène	阿尔塞纳
higgins	希金斯
chadwick	查德威克
augustus	奥古斯塔斯
camargo	卡马戈
rabin	拉宾
goddard	戈达德
forbes	福布斯
humphrey	汉弗莱
ribeiro	里贝罗
barros	巴路士
lyndon	林登
perón	裴隆
walters	沃尔特斯
patrice	帕特里斯
melville	梅尔维尔
brouwer	布劳威尔
ram	拉姆
finney	芬尼
schultz	舒尔茨
ortega	奥尔特加
yahya	叶海亚
barber	巴伯
sophia	索菲亚
jacobus	雅各布斯
rojas	罗哈斯
sanford	桑福德
dorothy	多萝西
pizarro	皮萨罗
prescott	普雷斯科特
anatoliy	阿纳托利
kuznetsov	库兹涅佐夫
weinberg	温伯格
júlio	儒利奥
hope	霍普
stevens	史蒂文斯
boleyn	博林
bernoulli	伯努利
gómez	戈麦斯
fabio	法比奧
guy	居伊
rahman	拉赫曼
adolf	阿道夫
conrad	康拉德
foster	福斯特
north	诺斯
ivan	伊万
ramón	拉蒙
maurice	莫里斯
adler	阿德勒
hilary	希拉里
sharp	夏普
gerald	杰拉德
joaquín	华金
pickering	皮克林
ingrid	英格丽
bloch	布洛赫
cameron	卡梅伦
bernhard	伯恩哈德
turner	特纳
jesse	杰西
alex	亚历克斯
rodríguez	罗德里格斯
louis	路易
bush	布什
laura	劳拉
ramírez	拉米雷斯
helen	海倫
joel	乔尔
pablo	巴勃罗
alberto	阿尔贝托
white	怀特
miguel	米格尔
frank	弗兰克
davis	戴维斯
da	达
jeannet	让内
araújo	阿劳约
frazier	弗雷澤
kalou	卡卢
lucía	露西娅
bassett	巴塞特
greeley	格里利
hamani	哈马尼
sylvester	西爾維斯特
llorente	路蘭迪
petri	佩特里
horace	霍勒斯
emilio	埃米利奥
iker	伊克尔
lou	卢
ephraim	伊弗雷姆
mcgee	麦吉
edson	艾迪臣
cabral	卡布拉爾
gilberto	吉尔伯托
anita	安妮塔
crocker	克罗克
mona	莫娜
ballard	巴拉德
virginia	弗吉尼亚
silveira	西尔维拉
skye	斯凱
mauricio	毛里西奥
kadyrov	卡德罗夫
emmons	埃蒙斯
wilmot	威尔莫特
latham	莱瑟姆
angel	安潔兒
mikael	米卡埃尔
gary	加里
alison	艾莉森
ismailov	伊斯梅洛夫
haider	海德尔
calderón	卡尔德隆
yitzhak	伊扎克
mcilroy	麥克羅伊
andreea	安德烈娅
goldberg	戈德堡
vance	万斯
osment	奧斯蒙
mcqueen	麥昆
weller	韦勒
estrada	埃斯特拉达
santana	桑塔那
ekaterina	葉卡捷琳娜
kamiński	卡明斯基
devi	黛维
kieran	基蘭
romero	罗梅罗
kovács	高華斯
heather	海瑟
bohuslav	博胡斯拉夫
benson	本森
reynaldo	雷纳尔多
sherwood	舍伍德
gallagher	蓋勒格
hatcher	海契
sax	萨克斯
robertson	罗伯逊
arnett	阿奈特
jonas	乔纳斯
berry	贝里
talbot	塔波特
charpentier	夏庞蒂埃
jared	贾里德
sotomayor	索托马约尔
hoyte	賀迪
lara	拉腊
ashraf	阿什拉夫
rubens	魯本斯
sandro	桑德罗
liebknecht	李卜克内西
hemingway	海明威
simão	西芒
beckham	贝克汉姆
ramsay	拉姆齊
anabel	安娜貝爾
claire	克萊兒
lois	洛伊丝
hawke	霍克
dworkin	德沃金
pasteur	巴斯德
bruni	布鲁尼
terence	特伦斯
bay	貝
sándor	山多尔
dante	但丁
adaílton	艾達頓
murat	穆拉特
cronin	克罗宁
branch	布兰奇
kenyon	凯尼恩
mussolini	墨索里尼
cuvier	居維葉
pynchon	品钦
cutler	卡特勒
enoch	以諾
casiraghi	卡西拉奇
netanyahu	内塔尼亚胡
zola	佐拉
gosling	高斯林
atta	阿塔
meredith	梅雷迪思
cagnotto	卡尼奥托
koman	科曼
lana	拉娜
zlatan	兹拉坦
philips	飞利浦
eddington	爱丁顿
harrington	哈林顿
povlsen	保臣
wilkes	威尔克斯
gottlob	戈特洛布
ivanovich	伊万诺维奇
palma	帕尔马
irakli	伊拉克利
zardari	扎尔达里
chandragupta	旃陀罗
ernie	厄尼
peake	皮克
perestrello	佩雷斯特雷洛
nuno	努诺
adi	阿迪
macarthur	麦克阿瑟
eckersley	埃克斯利
renata	雷纳塔
sharman	沙曼
katz	卡茨
marian	马里安
nguyen	阮
girard	吉拉德
salvador	萨尔瓦多
dileita	迪莱塔
reina	雷纳
åke	奥克
patti	帕蒂
raj	拉杰
dickinson	迪金森
clifton	克里夫顿
istván	伊斯特万
nguema	恩圭马
zweig	茨威格
birgit	比吉特
erwin	埃尔温
phil	菲尔
tasso	塔索
greg	格雷格
dempsey	丹普西
dampier	丹皮尔
niklas	尼克拉斯
y	伊
keaton	基頓
hamelin	哈梅林
numa	努马
janez	亚内兹
arne	阿尔内
aalto	阿尔托
hess	赫斯
hank	漢克
carney	卡尼
eisner	埃斯纳
emerson	爱默生
okello	奥凯洛
alba	艾巴
cassidy	卡西迪
ambani	安巴尼
dickson	迪克森
fabiano	法比亚诺
radoslav	拉多斯拉夫
mia	米娅
hamm	哈姆
vlad	弗拉德
morente	莫倫特
reagan	里根
lorenz	洛伦兹
todorov	托多洛夫
chivu	基伏
konan	科南
nino	妮诺
matti	马蒂
homer	霍默
karimi	卡里米
slipher	斯里弗
clarence	克拉倫斯
luc	吕克
glass	格拉斯
potocki	波托茨基
renzo	伦佐
trujillo	特鲁希略
mcgregor	麦格雷戈
konstantin	康斯坦丁
ulysses	尤利西斯
emiliano	埃米利亚诺
marilyn	瑪麗蓮
travis	特拉维斯
sargsyan	萨尔基相
gasol	加索尔
ignaz	伊格纳兹
alarcón	阿拉尔孔
alec	亚历克
bainbridge	班布里奇
materazzi	马特拉齐
kissinger	基辛格
sabin	沙賓
spitzer	斯皮策
cattell	卡特尔
joshua	約書亞
monique	莫妮克
gunnar	贡纳尔
redknapp	雷德克纳普
tiepolo	提埃坡羅
valentin	瓦伦丁
dodd	杜德
blackburn	布莱克本
hawthorne	霍桑
porter	波特
sisavang	西萨旺
mello	梅洛
yakin	雅金
modibo	莫迪博
milošević	米洛舍维奇
saleh	萨利赫
leif	萊夫
slater	斯莱特
marx	马克思
quincy	昆西
eve	夏娃
cage	凯奇
bertil	贝蒂尔
balliol	巴里奥
schleck	施莱克
samsu	萨姆苏
fanny	范妮
britta	布丽塔
flavio	弗拉维奥
trey	特雷
dorji	多吉
alois	阿洛伊斯
nadezhda	娜杰日达
gareth	加雷斯
everett	埃弗里特
svetozar	斯韦托扎尔
tuckerman	塔克曼
kolbe	科尔贝
zvonimir	兹沃尼米尔
boban	博班
mariano	馬里亞諾
benz	本茨
bertha	贝尔塔
tate	塔特
josimar	祖斯馬
istomin	伊斯托明
dumitru	杜米特鲁
bridge	布里奇
kovač	科瓦奇
rochus	羅庫斯
gilpin	吉尔平
burroughs	巴勒斯
zurab	蘇拉比
elihu	伊莱休
gabrieli	加布里埃利
jung	荣格
blue	布魯
sid	席德
petras	彼特拉斯
fry	弗莱
edita	艾迪塔
rodas	罗达斯
branko	布兰科
milutinović	米卢蒂诺维奇
díaz	迪亚斯
emre	埃姆雷
scarlatti	斯卡拉蒂
domenico	多梅尼科
carlisle	卡莱尔
sykes	赛克斯
modigliani	莫迪利亚尼
mcdonald	麥當勞
kleiber	克莱伯
ariel	阿里埃勒
andranik	安德拉尼克
imogen	伊莫金
asamoah	阿萨莫阿
boutros	布特羅斯
payne	佩恩
fitch	菲奇
butt	布特
amaury	阿莫里
thorpe	索普
valente	華倫迪
chang	張
rodriguez	罗德里格兹
camilo	卡米洛
hendra	亨德拉
gillian	吉莉安
costa	科斯塔
kabila	卡比拉
abramson	艾布拉姆森
marius	马里乌斯
dutta	杜塔
lleras	耶拉斯
boulanger	布朗热
polgar	波尔加
stern	斯特恩
burnouf	布尔奴夫
faris	法里斯
frei	弗雷
abbey	艾比
elton	埃尔顿
reis	雷斯
gustav	古斯塔夫
cate	凯特
mayo	梅奥
zé	泽
howe	豪
heike	海克
hawkins	霍金斯
manfred	曼弗雷德
bart	巴特
bonner	邦納
villanueva	维拉纽瓦
milner	米尔纳
crespo	克雷斯波
killen	基伦
loren	洛伦
hewitt	休伊特
atkinson	阿特金森
boone	布恩
vasconcelos	瓦斯康塞洛斯
fareed	法里德
louisa	路易莎
jonah	喬納
bellamy	贝拉米
laudrup	劳德鲁普
alpha	阿尔法
moura	莫拉
nadia	娜迪亚
zorn	佐恩
burnett	伯内特
pentti	彭蒂
karamanlis	卡拉曼利斯
alvarado	阿尔瓦拉多
paisley	佩斯利
jérôme	热罗姆
carlson	卡尔森
odd	奥德
medina	梅迪纳
gnassingbé	纳辛贝
atiba	艾迪巴
bass	巴斯
sammallahti	萨马拉赫蒂
younis	尤尼斯
gamble	甘布尔
usman	乌斯曼
mba	姆巴
fleming	弗莱明
friedel	弗里德尔
fuchs	富克斯
york	约克
hernán	埃尔南
peña	佩尼亚
abbott	阿博特
oumarou	奥马鲁
mandelstam	曼德尔施塔姆
browning	勃朗宁
seyni	赛义尼
rajiv	拉吉夫
lualua	卢阿卢阿
ole	奥勒
lucius	卢基乌斯
sammy	萨米
gloria	格洛丽亚
macapagal	马卡帕加尔
sonia	索尼娅
rota	羅塔
norbert	諾伯特
sampson	桑普森
teemu	泰穆
rutledge	拉特利奇
ezequiel	埃兹奎尔
huber	胡伯
kumar	库马尔
defoe	笛福
bayer	拜尔
ochoa	奥乔亚
rodham	罗德姆
raja	拉加
burrows	布洛斯
howell	豪厄尔
woodward	伍德沃德
paulson	保尔森
bondarenko	邦达连科
conca	孔卡
jobs	乔布斯
popp	波普
fish	菲什
diop	迪奥普
levy	利维
aliyev	阿利耶夫
garrido	加列度
byrne	拜恩
suhas	苏哈斯
brentano	布伦塔诺
jelić	耶利奇
bolat	博拉特
asa	阿薩
amadou	阿马杜
hickenlooper	希肯盧珀
prudhomme	普吕多姆
alicia	艾丽西亚
velasco	贝拉斯科
simeon	西美昂
maggie	瑪姬
andris	安德里斯
janusz	雅努什
murdoch	默多克
göring	戈林
farah	法拉赫
dunn	鄧恩
kirilenko	基里连科
cory	科利
mill	密尔
inzaghi	因扎吉
haji	哈吉
raimundo	雷蒙多
banderas	班德拉斯
minghella	明格拉
bosch	博斯
boateng	保定
jørgensen	约根森
schmitt	施米特
gingrich	金里奇
dawkins	道金斯
monti	蒙蒂
jeremiah	杰里迈亚
per	佩尔
evarts	埃瓦茨
townsend	汤森
rabbani	拉巴尼
paavo	帕沃
nenad	内纳德
schiller	席勒
neves	尼維斯
stephenson	斯蒂芬森
nikolaus	尼古劳斯
fonda	芳達
corina	科麗娜
holt	霍尔特
guenot	盖诺
torsten	托尔斯滕
melissa	梅丽莎
moss	摩絲
du	杜
diab	迪亚布
raskin	拉斯金
amr	阿穆尔
cahill	卡希尔
brisson	布里松
hakan	哈坎
rubinstein	鲁宾斯坦
passos	帕索斯
karami	卡拉米
biden	拜登
melo	美羅
thurmond	瑟蒙德
coelho	科埃略
salman	薩爾曼
silvia	西爾維亞
margherita	玛格丽塔
justo	胡斯托
rader	雷德
yeboah	耶保亞
böhm	貝姆
horn	霍恩
france	弗朗斯
bravo	巴禾
hancock	汉考克
fisher	費雪
rasul	拉苏尔
arns	阿恩斯
tinbergen	廷贝亨
brooke	布魯克
shearer	希勒
karpov	卡爾波夫
federer	费德勒
andrija	安德里亚
neruda	聂鲁达
flavia	弗拉维娅
inca	印卡
yupanqui	尤潘基
michal	米哈尔
shelley	雪莱
lucien	吕西安
bette	贝蒂
anand	阿南德
mayne	梅恩
sanger	桑格
bergkamp	博格坎普
karlheinz	卡尔海因茨
dibiasi	迪比亚西
čech	切赫
rasmus	拉斯姆斯
hudson	哈德森
cartan	嘉当
taha	塔哈
ramadan	拉马丹
grosjean	格罗斯让
jacquet	雅凯
ettore	埃托雷
ceulemans	瑟勒芒斯
aimé	艾梅
sørensen	蘇連遜
ferrari	费拉里
halldór	哈尔多尔
roderick	罗德里克
bertram	伯特伦
mladen	姆拉登
khama	卡马
phoebe	菲比
romer	罗默
schwartz	施瓦茨
ashmore	阿什莫
nichols	尼科尔斯
bentley	本特利
camara	卡马拉
gross	格罗斯
aidan	艾丹
coolidge	柯立芝
mcbride	麦克布莱德
maldini	马尔蒂尼
beckmann	贝克曼
fouad	福阿德
maynard	梅纳德
chaves	查韦斯
vargas	巴尔加斯
robson	罗布森
nicholson	尼科尔森
keynes	凯恩斯
marriner	马里纳
mccartney	麦卡特尼
dakota	达科塔
stoddard	斯托达德
brenda	布蘭達
bonham	博纳姆
marianne	玛丽安娜
wesley	韦斯利
stojković	斯托伊科维奇
mumford	芒福德
nehru	尼赫鲁
lothar	洛塔尔
umberto	翁贝托
giordano	焦尔达诺
lena	蓮娜
josip	约瑟普
livingstone	利文斯通
stark	斯塔克
nathan	内森
soriano	索利安諾
christos	赫里斯托斯
fink	芬克
gille	吉勒
pastrana	帕斯特拉纳
golding	戈尔丁
françoise	弗朗索瓦丝
mays	梅斯
barrios	巴里奥斯
papadopoulos	帕帕佐普洛斯
merikanto	梅利康托
sandrine	桑德琳
sawyer	索耶
bushnell	布什内尔
posey	波西
pekka	佩卡
lippmann	李普曼
buster	巴斯特
shah	沙阿
benda	本达
dixon	迪臣
bartolomeu	巴尔托洛梅乌
whitney	惠特尼
doris	桃樂絲
michelangelo	米开朗基罗
pollard	波拉德
marion	馬里恩
cotton	科顿
gleb	格列布
natalie	娜塔莉
grzimek	格日梅克
leakey	李奇
bowman	鮑曼
brady	布雷迪
pierluigi	皮耶路易吉
dini	迪尼
kinski	金斯基
polycarp	波利卡普
nelson	尼尔森
affleck	阿弗莱克
radosław	拉多斯瓦夫
baggio	巴乔
abreu	阿布瑞尤
rafik	拉菲克
tilson	提爾森
major	梅杰
fuentes	富恩特斯
olha	奥莉加
dow	道
hartmann	哈特曼
schenk	申克
dvorak	德沃夏克
kay	凯
salley	萨利
cunningham	坎宁安
baines	拜恩斯
combs	库姆斯
héctor	埃克托
landon	兰登
austen	奥斯丁
romeo	罗密欧
gracie	格雷西
aki	阿基
blatter	布拉特
dubois	杜布瓦
ceaușescu	齐奥塞斯库
shevchenko	舍甫琴科
ehud	埃胡德
ghulam	吴拉姆
patterson	帕特森
kingston	金斯顿
bentham	边沁
penck	彭克
diels	迪尔斯
harvard	哈佛
swan	斯万
dimitri	迪米特里
diallo	迪亚洛
della	德拉
heath	希斯
lakshmi	拉克希米
