kalmykia	קלמיקיה
tiryns	טירינס
abnoba	אבנובה
pulsar	פולסר
malingering	התחלות
plungė	פלונגה
kjerag	שראג
polyperchon	פוליפרכון
liaoning	ליאונינג
polyamine	פוליאמין
castoridae	בוניים
mutagen	מוטגן
diopside	דיופסיד
polyomino	פוליאומינו
playgirl	פלייגרל
moscopole	ווסקופויה
granola	גרנולה
ukulele	יוקולילי
abayudaya	אבאיודאייה
sparklehorse	ספרקלהורס
hussar	הוסר
quasar	קוואזר
springbok	דלגן
helvetii	הלווטים
amphipoda	שטצדאים
glissando	גליסנדו
neuroma	נירומה
apocrisiarius	אפוקריסיאריוס
retinoscopy	רטינוסקופ
noosphere	נוספירה
tarvisio	טרוויזיו
protist	פרוטיסטים
damselfly	שפריריות
hareut	הרעות
ahnenerbe	אננארבה
caryatid	קריאטידה
sephadex	ספדקס
stoat	הרמין
solomonari	סולומונר
yodfat	יודפת
yazidi	יזידים
alcoholism	אלכוהוליזם
stelarc	סטלארק
conviction	הרשעה
tahini	טחינה
entourage	הפמליה
mojito	מוחיטו
monoglyceride	מונוגליצריד
boromir	בורומיר
takfiri	תכפירי
comino	קומינו
selaginella	סלגינל
toriko	טוריקו
limnology	לימנולוגיה
lemmings	נמלולים
domination	דומיננטי
crypteia	קריפטיה
eitanim	איתנים
anathoth	ענתות
mattress	מזרן
hoopoe	דוכיפת
fullerene	פולרן
boiorix	בוירכאוס
petrobras	פטרוברז
impala	אימפלה
tunisair	תוניסאייר
verkhoyansk	ורחויאנסק
nilometer	נילומטר
carignan	קריניאן
rosatom	רוסאטום
abemama	אבמאמה
aristocracy	אריסטוקרטיה
kano	קנו
sado	סאדו
fado	פאדו
evrytania	אבריטניה
vatapá	וטאפה
revivim	רביבים
unicum	אוניקום
amputation	קטיעה
kasese	קססה
demosthenes	דמוסתנס
ercolano	ארקולנו
husaberg	הוסאברג
trastuzumab	הרצפטין
berimbau	בירימבאו
lichtenburg	ליכטנבורג
methylation	מתילציה
ilmenite	אילמניט
macapá	מקאפה
psychophysics	פסיכופיזיקה
alphaville	אלפאוויל
biranit	בירנית
avionics	אוויוניקה
eel	צלופחאים
reu	רעו
proterozoic	פרוטרוזואיקון
stormchaser	רודפתסערה
colmar	קולמר
zoology	זואולוגיה
debdou	דבדו
pirogue	פירוג
guinga	גינגה
purpure	פורפור
morlocks	מורלוקים
chrysopidae	עינפזיים
phlebitis	פלביטיס
foyles	פוילס
bijeljina	ביילינה
poales	דגנאים
hedenbergite	הדנברגיט
caiaphas	כייפא
caprera	קאפררה
pamukkale	פמוקלה
lakshadweep	לקשאדוויפ
thiol	תיול
aeolus	איולוס
achaeans	אכאים
thermophile	תרמופיל
leaflet	עלעל
dębica	דמביצה
phoenicia	פיניקים
vuvuzela	וובוזלה
alhamdulillah	אלחמדוללה
precambrian	פרקמבריון
luanda	לואנדה
quenya	קווניה
psoriasis	פסוריאזיס
naadam	נאדאם
pygmalion	פיגמליון
hypercube	היפרקובייה
palygorskite	פליגורסקיט
divertimento	דיברטימנטו
monodontidae	חדשיניים
koulourakia	קולורקיה
chemophobia	כימופוביה
gerontology	גרונטולוגיה
shashlik	שישליק
moineşti	מוינשט
dougga	דוגה
middlemarch	מידלמארץ
situationism	סיטואציוניזם
potiphar	פוטיפר
ameripol	אמריפול
fuchsia	פוקסיה
cryptomeria	קריפטומריה
siemiatycze	סמיאטיץ
carronade	קרונדה
spelt	כוסמין
fallibilism	פליביליזם
concatenation	שרשור
bacalhau	בקליאו
speleology	ספלאולוגיה
sardis	סרדיס
preferans	פרפראנס
chymotrypsin	כימוטריפסין
melamine	מלמין
upolu	אופולו
kimarcus	קימארקאס
yaoundé	יאונדה
foreskin	עורלה
fauvism	פוביזם
livia	ליוויה
brachydactyly	ברכידקטיליה
wikia	ויקיה
lepidosauria	לפידוזאוריה
messenia	מסניה
moonspell	מונספל
ageism	גילנות
biathlon	ביאתלון
sanskrit	סנסקריט
radegund	רדגונדיס
tilia	טיליה
lagash	לגש
ladakh	לדאק
titin	טיטין
napster	נאפסטר
nidelva	נידלבה
lavash	לוואשי
baalbek	בעלבכ
woland	וולנד
struga	סטרוגה
kurfürstendamm	קורפירסטנדאם
liebigite	ליביגיט
buridava	בורידאבה
itanium	איטניום
polyculture	פוליקולטורה
nólsoy	נולסוי
tzurit	צורית
moraceae	תותיים
hongcun	הונגצון
sofrito	סופריטו
xanthippe	קסנתיפה
riversleigh	ריברסליי
anatidae	ברווזיים
antananarivo	אנטננריבו
mirin	מירין
oberammergau	אובראמרגאו
galliformes	תרנגולאים
nirim	נירים
herpetology	הרפטולוגיה
zikim	זיקים
bran	סובין
surrealism	סוריאליזם
mimino	מימינו
ploidy	פלואידיות
oran	אוראן
ketamine	קטמין
hematite	המטיט
újpest	אויפשט
hron	חרון
pocahontas	פוקהונטס
skvyra	סקווירא
lapilli	לפילי
séraphîta	סרפיטה
claves	קלאווה
courtesan	קורטיזנה
morpheme	מורפמה
electrostatics	אלקטרוסטטיקה
ophthalmology	אופתלמולוגיה
taurica	טאוריס
canellales	קנלאים
libido	ליבידו
paramaribo	פרמריבו
bullseye	בולזאיי
preslav	פרסלב
malaryta	מלריטה
maracanã	מרקנה
gamification	משחוק
precaria	פרקריה
anthropocene	אנתרופוקן
bathyscaphe	בתיסקף
cassiel	קפציאל
ricin	ריצין
accolade	אקולייד
randomness	אקראיות
roentgenium	רנטגניום
mercuralia	מרקורליה
washitsu	ואשיצו
refectory	רפקטוריום
helots	הלוטים
oulipo	אוליפו
phacolith	פקולית
styria	שטיריה
porridge	דייסה
shōtōkai	שוטוקאי
gauja	גאויה
suliko	סוליקו
ratchet	רעשן
chartreuse	שארטרז
distorted	דיסטורטד
sophocles	סופוקלס
iturea	יטורים
nucleophile	נוקלאופיל
metamizole	דיפירון
calvados	קלבדוס
bandoneón	בנדונאון
emoticon	רגשון
tanzanite	טנזניט
zippo	זיפו
pentago	פנטגו
shekef	שקף
ballista	בליסטרה
nitroglycerin	ניטרוגליצרין
foligno	פוליאנו
isotretinoin	איזוטרטינואין
uppland	אופלנד
stent	סטנט
suffocation	סאפאקיישן
piciformes	נקראים
adamit	אדמית
ravioli	רביולי
infidel	כופרת
tolui	טולוי
aneuploidy	אנאפלואידיה
leipsoi	ליפסי
porphyria	פורפיריה
charoset	חרוסת
torus	טורוס
gekko	גקו
komuz	קומוז
cerussite	צרוסיט
kujawy	קויאוויה
arecaceae	דקליים
praxinoscope	פרקסינוסקופ
rmaich	רמיש
fumble	פאמבל
miraculin	מירקולין
jelgava	ילגבה
deadpool	דדפול
assyriology	אשורולוגיה
albireo	אלביראו
senglea	סנגלאה
masmuda	מסמודה
coeus	קואאוס
bogud	בוגוד
physicalism	פיזיקליזם
reiki	רייקי
seiko	סייקו
momus	מומוס
sagittaria	חצצון
huntress	הציידת
solenidae	אבוביתיים
baguette	בגט
pelops	פלופס
aspendos	אספנדוס
orchidaceae	סחלביים
dorians	דורים
lysias	ליסיאס
oktoberfest	אוקטוברפסט
elongation	אלונגציה
glossolalia	גלוסולליה
hadorbanim	הדורבנים
technophobia	טכנופוביה
costinha	קושטיניה
stegosauria	סטגוזאוריה
brassaï	בראסאי
bressay	בריסיי
tarator	טרטור
edaphosaurus	אדפוזאור
awaara	הנווד
acromioplasty	אקרומיופלסטיה
iliad	איליאדה
spetses	ספצס
carrack	קאראק
aerophone	אירופוניים
apostrophe	אפוסטרוף
riobamba	ריובמבה
nemausus	נמאוסוס
apraxia	אפרקסיה
aphasia	אפאזיה
acrylamide	אקרילאמיד
pineapplefish	אננסון
shinto	שינטו
feuilleton	פיליטון
vilsandi	וילסאנדי
kastelorizo	קסטלוריזו
mureybet	מורייבת
achilleion	אכיליון
glycolipid	גליקוליפיד
rhinodermatidae	רינודרמטיים
lutefisk	לוטפיסק
kanonenjagdpanzer	קנונניאגדפנצר
bamahane	במחנה
sashimi	סשימי
ameretat	אמרטט
migdol	מגדול
galdhøpiggen	גלדהפיגן
bupropion	בופרופיון
pictorialism	פיקטוריאליזם
collectivism	קולקטיביזם
igunaq	איגונאק
parmenion	פרמניון
kabanos	קבנוס
etropole	אטרופולה
villanella	וילנלה
paleoclimatology	פלאוקלימטולוגיה
saxifragales	בקעצוראים
eutrophication	אאוטריפיקציה
admete	אדמטה
muharram	מוחרם
ionians	איונים
hathor	חתחור
nabonidus	נבונאיד
rickets	רככת
maggid	דרשנות
urania	אוראניה
hornblende	הורנבלנדה
sivapithecus	סיוופיתקוס
shahrisabz	שאחריסאבז
oxytocin	אוקסיטוצין
armageddon	ארמגדון
deuteronomist	דויטרונומיזם
iguanidae	איגואניים
murmillo	מורמילו
catalase	קטלאז
ethnolect	אתנולקט
idnibba	אידניבה
electronegativity	אלקטרושליליות
gaur	גאור
chitin	כיטין
islamophobia	אסלאמופוביה
caesarion	קיסריון
pokerstars	פוקרסטארס
chiton	כיטון
gje	ѓ
astrolabe	אצטרולב
afikim	אפיקים
lje	љ
machaerus	מכוור
polyamory	פוליאמוריה
xenarthra	דלשינאים
polydactyly	פולידקטיליה
dysthymia	דיסתימיה
trichloroethylene	טריכלורואתילן
dhahran	דהראן
zoroastrianism	זורואסטריות
khotyn	חוטין
metallurgy	מטלורגיה
tinamou	טינמיים
yisgav	ישגב
partita	פרטיטה
cyberpunk	סייברפאנק
riverdance	ריברדאנס
alexanderplatz	אלכסנדרפלאץ
sendai	סנדאי
pietà	פייטה
asyut	אסיוט
carmit	כרמית
asfur	עספור
apokapes	אפוקאפס
obol	אובול
lighter	מצית
streymoy	סטריימוי
kremlinology	סובייטולוגיה
instagram	אינסטגרם
mayrhofen	מאיירהופן
chutzpah	חוצפה
sitria	סתריה
bishkek	בישקק
illyria	איליריה
tarquinia	טרקוויניה
shumsk	שומסק
zealotry	קנאים
meiningen	מיינינגן
dysphonia	צרידות
anusim	אנוסים
elbistan	אלביסטן
disappointment	אכזבה
primordialism	פרימורדיאליזם
esquire	אסקווייר
zigzag	זיגזג
pantelleria	פנטלריה
ostrea	אוסטראה
theobromine	תאוברומין
istria	איסטריה
narcissism	נרקיסיזם
muki	מוקי
pleistocene	פליסטוקן
casein	קזאין
kuseife	כסייפה
stradivarius	סטרדיוואריוס
ceratopsia	צרטופסים
telemetry	טלמטריה
santorini	סנטוריני
vibrator	ויברטור
hadean	האדן
muff	ידונית
newsweek	ניוזוויק
surrogates	המחליפים
phytoplankton	פיטופלנקטון
meissa	מייסה
graubünden	גראובינדן
necro	נקרו
cinéorama	סינאורמה
newspeak	שיחדש
olza	אולזה
separatrix	ספרטריקס
supergrass	סופרגראס
tishrei	תשרי
securitate	סקוריטטה
telepathy	טלפתיה
asado	אסאדו
samael	סמאל
ericales	אברשאים
hippodamia	היפודאמיה
mošovce	מושובצה
enfilade	אנפילדה
socotra	סוקוטרה
shoebill	מנעלן
székelys	סקלרים
kylix	קיליקס
selb	זלב
desertification	מדבור
mentewab	מאנטאוואב
shyness	ביישנות
gitit	גיתית
causality	סיבתיות
pseudogene	פסאודוגן
rumor	שמועה
phencyclidine	פאנציקלידין
aley	עאליי
glay	גליי
stratigraphy	סטרטיגרפיה
topshop	טופשופ
shareaza	שרזה
podcast	פודקאסט
drought	בצורת
gabbro	גברו
lagodekhi	לאגודחי
circulator	סירקולטור
portico	פורטיקו
osteocalcin	אוסטאוקלצין
hasbro	הסברו
pumuckl	פומיקי
bilocation	בילוקציה
yukos	יוקוס
benben	בנבן
egyptology	אגיפטולוגיה
hysteresis	היסטרזיס
mahseya	מחסיה
selardi	סלארדי
latgale	לטגליה
misogyny	מיזוגיניה
moxibustion	מוקסה
tardis	טארדיס
holašovice	הולשוביצה
lyrids	לירידים
microfluidics	מיקרופלואידיקה
monothelitism	מונותליטיזם
yoshitoshi	יושיטושי
airbrush	איירבראש
maskiot	משכיות
zeresh	זרש
abaya	עבאיה
bornholm	בורנהולם
leoben	לאובן
habitus	הביטוס
googoosh	גוגוש
luciferase	לוציפראז
scarabaeidae	זבליתיים
caulking	איטום
elscint	אלסינט
lucretius	לוקרטיוס
pomeranian	פומרניאן
therizinosaurus	תריזינוזאור
vitrification	ויטריפיקציה
guitarist	גיטריסט
antinomianism	אנטינומיזם
stupa	סטופה
isolationism	בדלנות
shmita	שמיטה
biłgoraj	בילגוריי
framing	מסגור
chinguetti	שינגטי
evangelicalism	אוונגליזם
cadmium	קדמיום
serpin	סרפין
transdanubia	טרנסדנוביה
cycad	ציקסינים
khertvisi	חרתוויסי
doughnut	דונאט
radiobiology	רדיוביולוגיה
ægir	אגיר
alalakh	אללח
aybak	אייבכ
okhrana	אוכרנה
kefir	קפיר
ayran	איירן
compsognathus	קומפסוגנתוס
moat	חפיר
gollum	גולום
boethius	בואתיוס
nadar	נדאר
mineralogy	מינרלוגיה
knyszyn	קנישין
morphing	מורפינג
mercantilism	מרקנטיליזם
vogt	ווגט
soot	פיח
gevil	גוויל
haynt	היינט
nanny	אומנת
gevim	גבים
carni	קרנים
motown	מוטאון
photogram	פוטוגרמה
pacifism	פציפיזם
patna	פטנה
geoid	גאואיד
nausicaa	נאוסיקה
yokohama	יוקוהמה
terbinafine	טרבינאפין
strontium	סטרונציום
centimorgan	סנטימורגן
radhanite	רדהנים
gentianaceae	ערבזיים
metformin	מטפורמין
zeitgeber	צייטגבר
atonement	כפרה
quadriga	קוודריגה
nucleation	התגרענות
milkman	חלבן
cubism	קוביזם
vinaigrette	ויניגרט
curium	קוריום
dichloromethane	דיכלורומתאן
thimphu	טהימפהו
kaifeng	קאיפנג
adenoid	אדנואיד
deadwood	דדווד
hygroscopy	היגרוסקופיות
tepic	טפיק
forsterite	פורסטריט
medzev	מדזב
erecura	ארקורה
platonia	בקורי
tautology	טאוטולוגיה
soyuzmultfilm	סויוזמולטפילם
uncyclopedia	איןציקלופדיה
seikanron	סייקנרון
biota	ביוטה
zwinger	צווינגר
psychopathology	פסיכופתולוגיה
bentorite	בנתוריט
sirusho	סירושו
panforte	פנפורטה
afroman	אפרומן
coccinellidae	מושיתיים
alnitak	אלניטק
agathonisi	אגתוניסי
alnilam	אלנילם
arcturus	ארקטורוס
snot	סנוט
vicuña	ויקוניה
bioreactor	ביוריאקטור
dongguan	דונגגוואן
yidcore	יידקור
rosoideae	ורדאים
confucius	קונפוציוס
bilge	שיפוליים
essenes	איסיים
kiruna	קירונה
infiniti	אינפיניטי
twyfelfontein	טוואיפלפונטיין
taki	טאקי
dubbing	דיבוב
fukuoka	פוקואוקה
vlkolínec	ולקולינץ
glocalisation	גלוקליזציה
analcime	אנלציט
yiruma	יירומה
halochromism	הלוכרומיזם
dharma	דהרמה
pecorino	פקורינו
cascada	קסקדה
ibim	איבים
anammox	אנמוקס
ulama	עולמא
sharia	שריעה
morphogen	מורפוגן
biofeedback	ביופידבק
inveraray	אינוורארי
therma	תרמה
hemolysin	המוליזין
barcode	ברקוד
hemolysis	המוליזה
fibula	שוקית
pyrethrin	פירטרין
biogeography	ביוגאוגרפיה
interlaken	אינטרלאקן
heterochromatin	הטרוכרומטין
ethnomusicology	אתנומוזיקולוגיה
luninets	לוניניץ
chartzufim	החרצופים
ksi	ѯ
nahsholim	נחשולים
metrology	מטרולוגיה
nahshonim	נחשונים
palaeography	פלאוגרפיה
polytetrafluoroethylene	טפלון
elitism	אליטיזם
spawn	ספון
castanets	קסטנייטות
rokiškis	רוקישקיש
donatism	דונאטיזם
kalmius	קלמיוס
mescaline	מסקלין
cataract	קטרקט
shinar	שנער
tarom	טארום
concordance	קונקורדנציה
gordonia	גורדוניה
harpalyke	הרפלייקה
scholasticism	סכולסטיקה
carnallite	קרנליט
doggerland	דוגרלנד
stapler	מכלב
lekenik	לקניק
stilyagi	המגונדרים
intonation	אינטונציה
sarno	סרנו
muqeible	מוקייבלה
sagres	סגרש
lusitanians	לוזיטנים
prazon	פרזון
ampersand	אמפרסנד
hymenoptera	דבוראים
elrond	אלרונד
biphobia	ביפוביה
macrocephaly	מקרוצפליה
homogenization	המגון
arachnophobia	ארכנופוביה
minotaur	מינוטאורוס
amylopectin	עמילופקטין
bodhidharma	בודהידהרמה
falsetto	פלסט
clymene	קלימנה
fayalite	פאיאליט
flickr	פליקר
marzipan	מרציפן
wandervogel	ואנדרפוגל
winteraceae	וינטריים
gado	גאדו
compost	דשונת
paraprosdokian	פרפראזדוקיאן
kingpin	קינגפין
nippur	ניפור
ecocentrism	אקוצנטריות
hipparchus	היפרכוס
bischofswerda	בישופסוורדה
zipper	רוכסן
gahnite	גאהניט
glycerophospholipid	פוספוגליצריד
danalite	דיינאליט
lygaeidae	פנדוריים
safsaf	צפצאף
katharsis	קתרסיס
zakāt	זכאה
conducting	ניצוח
boogeyman	בוגימן
timbaland	טימבלנד
ambulocetus	אמבולוצטוס
steeplejack	טפסן
nieuwlande	ניולנדה
amalgam	אמלגם
berserk	ברזרק
rosebud	רוזבאד
glottochronology	גלוטוכרונולוגיה
croquembouche	קרוקמבוש
uttarakhand	אוטראקהאנד
guayaquil	גואיאקיל
globes	גלובס
elifelet	אליפלט
pheochromocytoma	פאוכרומוציטומה
climatology	קלימטולוגיה
glaphyra	גלפירה
coccinelle	קוקסינל
ytterbium	איטרביום
nahalal	נהלל
tadpole	ראשן
sudiţi	סודיט
samovar	סמובר
kleroterion	קלרוטריון
devanagari	דוונאגרי
memex	ממקס
medea	מדיאה
debed	דבד
republicanism	רפובליקניזם
dryad	דריאדה
arwad	ארוד
hebei	חביי
sereď	סרד
nelspruit	נלספרייט
moritasgus	מוריטאסגוס
electroscope	אלקטרוסקופ
phasis	פאסיס
diaper	חיתול
leidseplein	ליידספליין
amphibole	אמפיבול
anecdote	אנקדוטה
legatus	לגאטוס
miniclip	מיניקליפ
vorticity	ערבוליות
ammonia	אמוניה
arameans	ארמים
vosegus	ווסגוס
qanawat	קנטה
zhe	ж
liliaceae	שושניים
gorgonzola	גורגונזולה
tecsar	טכסאר
tweety	טוויטי
kaleidoscope	קליידוסקופ
encyclical	אנציקליקה
sarafan	סרפן
grease	גריז
odonata	שפיראים
appenzell	אפנצל
herrerasaurus	הררזאור
talatat	תלאתאת
gleichschaltung	האחדה
ternate	טרנאטה
cucurbitales	דלועאים
ternitz	תרניץ
magnetoencephalography	מגנטואנצפלוגרפיה
moroi	מורוי
atman	אטמן
sejanus	סיאנוס
pythia	פיתיה
futsal	קטרגל
citral	ציטראל
kampala	קמפלה
álftanes	אאולפטאנס
priming	הטרמה
panamax	פנמקס
varenicline	ורניקלין
stavanger	סטוונגר
asthenosphere	אסתנוספירה
larnite	לרניט
cocorosie	קוקורוזי
ginaton	גנתון
flavonoid	פלבנואיד
sahabah	אלצחאבה
cantata	קנטטה
holarchy	הולרכיה
kabarday	קברדינים
belgravia	בלגרביה
isetta	איזטה
thespis	תספיס
bushido	בושידו
agag	אגג
arbeitsdorf	ארבייטסדורף
belper	בלפר
jungfrau	יונגפראו
ikebana	איקבנה
ahitophel	אחיתופל
auroville	אורוויל
bashkortostan	בשקיריה
nethinim	נתינים
potpourri	פופורי
columbanus	קולומבנוס
hokkaido	הוקאידו
hydride	הידריד
ulla	עולא
rhizobium	ריזוביום
historicism	היסטוריציזם
pilobolus	פילובולוס
tetanus	טטנוס
galadriel	גלדריאל
commodus	קומודוס
volos	וולוס
basshunter	בסהאנטר
koror	קורור
logos	לוגוס
bollywood	בוליווד
carmagnola	קארמניולה
hydrometer	הידרומטר
bomboniere	בונבוניירה
solon	סולון
pelusium	פלוסיום
metrobus	מטרובוס
nucleolus	גרעינון
einsteinium	איינשטייניום
muktuk	מאקטאק
hamishtala	המשתלה
scandinavia	סקנדינביה
robor	רובור
pasargadae	פסארגאדה
reactionary	ריאקציה
bauxite	בוקסיט
tiwanaku	טיוואנאקו
vasubandhu	וסובנדהו
peduim	פדויים
rudky	רודקי
krekenava	קרקינובה
fulgora	פולגורה
trainspotting	טריינספוטינג
hairspray	היירספריי
hyades	היאדות
siteswap	סייטסוואפ
ethanethiol	אתאנתיול
tungsten	טונגסטן
apep	אפפ
glyptothek	גליפטותק
crudités	קרודיטה
sinfonia	סינפוניה
preveli	פרבלי
gangulphus	גנגולפוס
butaritari	בוטאריטארי
neukölln	נויקלן
smegma	סמגמה
raekwon	רייקון
skins	סקינס
pentaquark	פנטאקווארק
rolleiflex	רוליפלקס
delirium	דליריום
emmental	אמנטל
wiesbaden	ויסבאדן
palmares	פלמארס
teicher	טייכר
poaching	שליקה
rototom	רוטוטום
sakoku	סאקוקו
proteinuria	פרוטאינוריה
ignatievo	איגנטייבו
koutammakou	קוטמאקו
kazoku	קזוקו
wieluń	ויילון
glycine	גליצין
tangelo	תפוזינה
stishovite	סטיסהוביט
washoe	וואשו
kunoy	קונוי
butoh	בוטו
fogera	פוגרה
dysentery	דיזנטריה
debian	דביאן
ununoctium	אונונאוקטיום
caprice	קפריס
condatis	קונדאטיס
wolfsbane	וולפסביין
hyperbola	היפרבולה
hyperbole	הגזמה
hukok	חוקוק
rationalism	רציונליזם
marghita	מרגיטה
affix	מוספית
calamine	קלמין
colchis	קולכיס
leontopolis	לאונטופוליס
camping	מחנאות
dupnitsa	דופניצה
nouadhibou	נואדיבו
upsherin	חלאקה
ununtrium	אונונטריום
arfvedsonite	ארפוודסוניט
sozopol	סוזופול
macgyver	מקגייוור
barnacle	זיפרגליים
rehaniya	ריחאניה
volgodonsk	וולגודונסק
kythnos	קיתנוס
kholop	חולופ
polykleitos	פוליקליטוס
subjectivity	סובייקטיביות
busseto	בוסטו
orphism	אורפיזם
fontlab	פונטלאב
atlantropa	אטלנטרופה
aftonbladet	אפטונבלדט
fallschirmjäger	פאלשירמייגר
milkshake	מילקשייק
malawach	מלאווח
ichthyosaur	איכתיוזאוריה
saponification	סיבון
kouros	קורוס
bibliomania	ביבליומאניה
basingstoke	בייסינגסטוק
leninism	לניניזם
dilophosaurus	דילופוזאור
captorhinidae	קוטילוזאוריה
philolaus	פילולאוס
spätzle	שפצלה
miska	מיסכה
idiolect	אידיולקט
blockhouse	בלוקהאוס
meirav	מירב
wapping	וופינג
gametophyte	גמטופיט
sophrology	סופרולוגיה
titeuf	טיטוף
priam	פריאמוס
alcmene	אלקמני
araliaceae	קיסוסיים
psychoneuroimmunology	פסיכונוירואימונולוגיה
jüdenstraße	יודנשטרסה
alimony	מזונות
ilvaite	אילוואיט
llanfairpwllgwyngyll	לנפאירפוולגווינגיל
iqta	אקטאע
lepidium	שחליים
rabshakeh	רבשקה
rogaining	רוגיין
wikiquote	ויקיציטוט
prešov	פרשוב
provolone	פרובולונה
ituran	איתוראן
sepiolite	ספיוליט
cartouche	קרטוש
lespezi	לספז
asafoetida	חלתית
naukograd	נאוקוגרד
aeschylus	אייסכילוס
environmentalism	סביבתנות
neutralino	נייטרלינו
supertramp	סופרטרמפ
phycology	פיקולוגיה
bohemianism	בוהמה
będzin	בנדין
intertextuality	אינטרטקסטואליות
hastati	האסטאטים
kenyapotamus	קניהפוטם
lanval	לנבל
salzkammergut	זאלצקמרגוט
bacău	בקאו
galahad	גלהאד
houndshark	כרישוניים
webcomic	ובקומיקס
nominalism	נומינליזם
inklings	אינקלינגס
gestapo	גסטפו
ahaz	אחז
cocooning	קוקונינג
hargeisa	הרגייסה
hydrography	הידרוגרפיה
hypnos	היפנוס
brennius	ברניוס
stroboscope	סטרובוסקופ
aarhus	אורהוס
karandash	קרנדאש
apatosaurus	אפטוזאור
cursed	הקללה
lamiaceae	שפתניים
praxeology	פרקסאולוגיה
ß	ß
playmobil	פליימוביל
ñ	ñ
ə	ə
ç	ç
creationism	בריאתנות
pentatomidae	תריסיתיים
meritocracy	מריטוקרטיה
ultrasaurus	אולטראזאור
rösti	רושטי
reflexology	רפלקסולוגיה
abazins	אבזינים
